開放粵語詞典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［國際音標］	［國語解釋］

唉唉聲	a:i˨˩ a:i˧˥ sɛ:ŋ˥	唉聲歎氣
鴨肉	a:p˧ jʊk˨	
鴨絨	a:p˧ jʊŋ˨˩	
鴨絨毛	a:p˧ jʊŋ˨˩ mou˨˩	
鴨叫	a:p˧ ki:u˧	
鴨腳	a:p˧ kœ:k˧	
鴨毛	a:p˧ mou˨˩	
鴨蛋	a:p˧ ta:n˨	
鴨蛋圓	a:p˧ ta:n˨ jy:n˨˩	
鴨掌	a:p˧ tsœ:ŋ˧˥	
鴨嘴	a:p˧ tsɵy˧˥	
鴨嘴獸	a:p˧ tsɵy˧˥ sɐu˧	
壓氣	a:t˧ hei˧	
壓延	a:t˧ ji:n˨˩	
壓延機	a:t˧ ji:n˨˩ kei˥	
猰貐	a:t˧ jy:˩˧	
壓抑	a:t˧ jɪk˥	
壓價	a:t˧ ka:˧	
押金	a:t˧ kɐm˥	
壓根	a:t˧ kɐn˥	
壓緊	a:t˧ kɐn˧˥	
壓垮	a:t˧ kʰwa:˥	
壓路	a:t˧ lou˨	
壓路機	a:t˧ lou˨ kei˥	
壓力	a:t˧ lɪk˨	
壓力計	a:t˧ lɪk˨ kɐi˧	
壓力表	a:t˧ lɪk˨ pi:u˧˥	
壓力鍋	a:t˧ lɪk˨ wɔ:˥	
壓馬路	a:t˧ ma:˩˧ lou˨	
揠苗助長	a:t˧ mi:u˨˩ tsɔ:˨ tsœ:ŋ˧˥	
壓迫	a:t˧ pa:k˥	
壓迫感	a:t˧ pa:k˥ kɐm˧˥	
壓扁	a:t˧ pi:n˧˥	
壓寶	a:t˧ pou˧˥	
壓破	a:t˧ pʰɔ:˧	
壓平	a:t˧ pʰɪŋ˨˩	
壓碎	a:t˧ sɵy˧	
壓歲	a:t˧ sɵy˧	
壓歲錢	a:t˧ sɵy˧ tsʰi:n˨˩	
壓縮	a:t˧ sʊk˥	
