開放粵語詞典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［廣州拼音］	［國語解釋］

吖	a1	啊
吖啶	a1 ding6	
吖嗱	a1 na4	吧
鴉片	a1 pin3	
鴉片戰爭	a1 pin3 jin3 zeng1	
鴉片貿易	a1 pin3 meo6 yig6	
丫頭	a1 teo4	
丫鬟	a1 wan4	
鴉雀無聲	a1 zêg3 mou4 xing1	
啞巴	a2 ba1	
呀	a3	啊
亞爸	a3 ba1	爸爸
亞伯	a3 bag3	伯伯，伯父
亞保亞勝	a3 bou2 a3 xing3	張三李四
亞燦	a3 can3	從內地來香港的新移民
阿斗	a3 deo2	
亞斗官	a3 deo2 gun1	闊少爺，敗家子
亞福	a3 fug1	傻頭傻腦的人
阿飛	a3 féi1	
亞甲亞乙	a3 gab3 a3 yud6	張三李四
亞錦賽	a3 gem2 coi3	
亞狗亞貓	a3 geo2 a3 mao1	張三李四
亞姑	a3 gu1	姑姑，姑母
亞公	a3 gung1	外祖父，老大爺
亞軍	a3 gwen1	
阿訇	a3 gweng1	
亞吱亞咗	a3 ji1 a3 zo2	推三阻四，不滿，妨礙
亞豬亞狗	a3 ju1 a3 geo2	張三李四
亞媽	a3 ma1	媽媽，母親
亞嬤	a3 ma4	奶奶，祖母
亞茂	a3 meo6	傻子，傻瓜
亞茂整餅	a3 meo6 jing2 béng2	沒事找事
亞茂整餅，冇嗰樣整嗰樣	a3 meo6 jing2 béng2 mou5 go2 yêng2 jing2 go2 yêng2	沒事找事，亂搞一氣
亞妹	a3 mui2	妹妹
亞奶	a3 nai1	奶奶，祖母
亞奀	a3 ngen1	瘦子，瘦弱的小孩
亞女	a3 nêu2	女兒
亞婆	a3 po4	姥姥，外祖母
亞生	a3 sang1	先生
亞細	a3 sei2	小老婆
亞嬸	a3 sem2	嬸母，嬸子
亞傻	a3 so4	傻瓜，傻子
亞嫂	a3 sou2	嫂子，嫂嫂，大嫂
亞叔	a3 sug1	叔叔，叔父
亞sir	a3 sê4	男老師，男上司，長官，警官
亞誰	a3 sêu4	誰，什麼人
亞頭	a3 teo2	領導，頭目，領導者
亞頭	a3 teo2	領導，首領，頭頭兒
亞駝	a3 to2	駝背的人
亞姨	a3 yi1	姨母
亞爺	a3 yé4	爺爺，祖父
亞裔	a3 yêu6	
亞仔	a3 zei2	兒子
呀	a4	啊
衙	a4	嗎
鴨蛋	ab3 dan6	
鴨蛋圓	ab3 dan6 yun4	
鴨叫	ab3 giu3	
鴨腳	ab3 gêg3	
鴨毛	ab3 mou4	
鴨肉	ab3 yug6	
鴨絨	ab3 yung4	
鴨絨毛	ab3 yung4 mou4	
鴨掌	ab3 zêng2	
鴨嘴	ab3 zêu2	
鴨嘴獸	ab3 zêu2 seo3	
壓迫	ad3 bag1	
壓迫感	ad3 bag1 gem2	
壓扁	ad3 bin2	
壓寶	ad3 bou2	
壓低	ad3 dei1	
壓底	ad3 dei2	
壓倒	ad3 dou2	
壓倒性	ad3 dou2 xing3	
壓價	ad3 ga3	
押金	ad3 gem1	
壓根	ad3 gen1	
壓緊	ad3 gen2	
壓氣	ad3 héi3	
遏止	ad3 ji2	
押注	ad3 ju3	
壓住	ad3 ju6	
壓垮	ad3 kwa1	
壓力	ad3 lig6	
壓力表	ad3 lig6 biu2	
壓力計	ad3 lig6 gei3	
壓力鍋	ad3 lig6 wo1	
壓路	ad3 lou6	
壓路機	ad3 lou6 géi1	
壓馬路	ad3 ma5 lou6	
揠苗助長	ad3 miu4 zo6 zêng2	
