開放粵語詞典（黃錫凌調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［黃錫凌拼音］	［國語解釋］

吖	'a	啊
吖啶	'a _dɪŋ	
鴉雀無聲	'a ¯dzœk ˌmou 'sɪŋ	
鴉片	'a ¯pin	
鴉片貿易	'a ¯pin _mɐu _jik	
鴉片戰爭	'a ¯pin ¯dzin 'dzɐŋ	
吖嗱	'a ˌna	吧
丫頭	'a ˌtɐu	
丫鬟	'a ˌwan	
巴揸	'ba 'dza	多嘴，愛管閒事
芭蕉	'ba 'dziu	
巴閉	'ba ¯bɐi	了不起
巴士	'ba ´si	公車，巴士，公共汽車
巴士站	'ba ´si _dzam	公車站，公共汽車站
巴士佬	'ba ´si ´lou	公車司機
疤痕	'ba ˌhɐn	
疤痕組織	'ba ˌhɐn ´dzou 'dzik	
芭蕾舞	'ba ˌlœy ˏmou	
巴黎帽	'ba ˌlɐi ´mou	貝雷帽
芭蕾	'ba ˏlœy	
吧女	'ba ˏnœy	酒吧女服務員
拜拜	'bai ¯bai	再見，拜拜
迫不得已	'bak 'bɐt 'dɐk ˏji	
迫擊炮	'bak 'gik ¯pau	
迫於形勢	'bak 'jy ˌjɪŋ ¯sɐi	
迫在眉睫	'bak _dzɔi ˌmei _dzit	
迫近	'bak _gɐn	
迫害	'bak _hɔi	
迫切	'bak ¯tsit	
迫使	'bak ´si	
班	'ban	群，伙
班	'ban	糾合，糾集，拉隊伍，糾集同伙
班兵	'ban 'bɪŋ	請援兵，請人幫忙，請求援助，搬兵
斑鳩	'ban 'gɐu	
班戟	'ban 'kik	薄煎餅，薄烤餅，熱香餅
班師	'ban 'si	
班師回朝	'ban 'si ˌwui ˌtsiu	
班車	'ban 'tsɛ	
班代表	'ban _dɔi ´biu	
班次	'ban ¯tsi	
班主任	'ban ´dzy _jɐm	
班長	'ban ´dzœŋ	
頒獎	'ban ´dzœŋ	
頒獎典禮	'ban ´dzœŋ ´din ˏlɐi	
頒獎禮	'ban ´dzœŋ ´lɐi	
班底	'ban ´dɐi	
班房	'ban ´fɔŋ	教室，課室
瘢痕	'ban ˌhɐn	
斑斕	'ban ˌlan	
班門弄斧	'ban ˌmun _lʊŋ ´fu	
班馬	'ban ˏma	搬救兵，召集黨徒，召集羽翼
斑馬	'ban ˏma	
包	'bau	保證
包租	'bau 'dzou	租房又分租給他人
包租公	'bau 'dzou 'gʊŋ	二房東
包租婆	'bau 'dzou ´pɔ	二房東太太，二房東，女二房東
包裝	'bau 'dzɔŋ	
包廂	'bau 'sœŋ	
包袱	'bau _fʊk	
包二奶	'bau _ji 'nai	有情婦，養小老婆
包括	'bau ¯kut	
褒貶	'bau ´bin	
包粽	'bau ´dzʊŋ	包粽子
包裹	'bau ´gwɔ	
包含	'bau ˌhɐm	
鮑魚	'bau ˌjy	
包容	'bau ˌjʊŋ	
卑職	'bei 'dzik	
悲觀	'bei 'gun	
裨益	'bei 'jik	
悲哀	'bei 'ɔi	
卑賤	'bei _dzin	
卑俗	'bei _dzʊk	
悲慟	'bei _dʊŋ	
悲劇	'bei _kɛk	
卑劣	'bei ¯lyt	
卑劣性	'bei ¯lyt ¯sɪŋ	
卑鄙	'bei ´pei	
卑鄙無恥	'bei ´pei ˌmou ´tsi	
悲慘	'bei ´tsam	
卑微	'bei ˌmei	
碑文	'bei ˌmɐn	
悲憤填膺	'bei ˏfɐn ˌtin 'jɪŋ	
BB機	'bi 'bi 'gei	呼叫機，BB機
逼	'bik	擠，擁擠
逼巴士	'bik 'ba ´si	擠公車，擠公共汽車
逼迫	'bik 'bak	
逼供	'bik 'gʊŋ	
逼冚晒	'bik _hɐm ¯sai	擠得緊緊的
逼入去	'bik _jɐp ¯hœy	擠進去
碧玉	'bik _jʊk	
碧綠	'bik _lʊk	
碧綠色	'bik _lʊk 'sik	
逼到鬼噉	'bik ¯dou ´gwɐi ´gɐm	擠得要命
逼到埋身	'bik ¯dou ˌmai 'sɐn	事情迫到頭上來
逼過嚟	'bik ¯gwɔ ˌlei	擠過來
碧血	'bik ¯hyt	
壁紙	'bik ´dzi	
壁虎	'bik ´fu	
碧海	'bik ´hɔi	
壁畫	'bik ´wa	
逼人	'bik ˌjɐn	擁擠
逼嚟逼去	'bik ˌlei 'bik ¯hœy	擠來擠去
壁爐	'bik ˌlou	
壁櫥	'bik ˌtsœy	
逼上梁山	'bik ˏsœŋ ˌlœŋ 'san	
碧眼	'bik ˏŋan	
邊	'bin	哪，哪裡
鞭	'bin	鞭子
邊疆	'bin 'gœŋ	
邊一年	'bin 'jɐt ˌnin	哪一年
鞭笞	'bin 'tsi	
邊度	'bin _dou	哪裡
邊日	'bin _jɐt	哪一天
邊際	'bin ¯dzɐi	
邊界	'bin ¯gai	
邊界線	'bin ¯gai ¯sin	
邊個	'bin ¯gɔ	誰，哪一個
邊個噶	'bin ¯gɔ ¯ga	誰的？
邊個嘅	'bin ¯gɔ ¯gɛ	誰的
鞭炮	'bin ¯pau	
邊處	'bin ¯sy	哪裡
邊處係呢	'bin ¯sy _hɐi ¯lɛ	哪裡哪裡
鞭撻	'bin ¯tat	
邊塞	'bin ¯tsɔi	
辮仔	'bin ´dzɐi	辮子
邊種	'bin ´dzʊŋ	哪種
邊境	'bin ´gɪŋ	
邊防	'bin ˌfɔŋ	
邊防要塞	'bin ˌfɔŋ ¯jiu ¯tsɔi	
邊緣	'bin ˌjyn	
