開放粵語詞典（黃錫凌數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［黃錫凌拼音］	［國語解釋］

吖	a1	啊
鴉雀無聲	a1 dzœk8 mou4 sɪŋ1	
吖啶	a1 dɪŋ6	
吖嗱	a1 na4	吧
鴉片	a1 pin3	
鴉片戰爭	a1 pin3 dzin3 dzɐŋ1	
鴉片貿易	a1 pin3 mɐu6 jik9	
丫頭	a1 tɐu4	
丫鬟	a1 wan4	
啞巴	a2 ba1	
呀	a3	啊
亞爸	a3 ba1	爸爸
亞伯	a3 bak8	伯伯，伯父
亞保亞勝	a3 bou2 a3 sɪŋ3	張三李四
亞吱亞咗	a3 dzi1 a3 dzɔ2	推三阻四，不滿，妨礙
亞豬亞狗	a3 dzy1 a3 gɐu2	張三李四
亞仔	a3 dzɐi2	兒子
阿斗	a3 dɐu2	
亞斗官	a3 dɐu2 gun1	闊少爺，敗家子
阿飛	a3 fei1	
亞福	a3 fʊk7	傻頭傻腦的人
亞甲亞乙	a3 gap8 a3 jyt9	張三李四
亞姑	a3 gu1	姑姑，姑母
亞軍	a3 gwɐn1	
阿訇	a3 gwɐŋ1	
亞錦賽	a3 gɐm2 tsɔi3	
亞狗亞貓	a3 gɐu2 a3 mau1	張三李四
亞公	a3 gʊŋ1	外祖父，老大爺
亞姨	a3 ji1	姨母
亞裔	a3 jœy6	
亞爺	a3 jɛ4	爺爺，祖父
亞媽	a3 ma1	媽媽，母親
亞嬤	a3 ma4	奶奶，祖母
亞妹	a3 mui2	妹妹
亞茂	a3 mɐu6	傻子，傻瓜
亞茂整餅	a3 mɐu6 dzɪŋ2 bɛŋ2	沒事找事
亞茂整餅，冇嗰樣整嗰樣	a3 mɐu6 dzɪŋ2 bɛŋ2 mou5 gɔ2 jœŋ2 dzɪŋ2 gɔ2 jœŋ2	沒事找事，亂搞一氣
亞奶	a3 nai1	奶奶，祖母
亞女	a3 nœy2	女兒
亞婆	a3 pɔ4	姥姥，外祖母
亞生	a3 saŋ1	先生
亞嫂	a3 sou2	嫂子，嫂嫂，大嫂
亞誰	a3 sœy4	誰，什麼人
亞細	a3 sɐi2	小老婆
亞嬸	a3 sɐm2	嬸母，嬸子
亞傻	a3 sɔ4	傻瓜，傻子
亞sir	a3 sɛu4	男老師，男上司，長官，警官
亞叔	a3 sʊk7	叔叔，叔父
亞燦	a3 tsan3	從內地來香港的新移民
亞頭	a3 tɐu2	領導，首領，頭頭兒
亞頭	a3 tɐu2	領導，頭目，領導者
亞駝	a3 tɔ2	駝背的人
亞奀	a3 ŋɐn1	瘦子，瘦弱的小孩
呀	a4	啊
衙	a4	嗎
唉唉聲	ai4 ai2 sɛŋ1	唉聲歎氣
鴨蛋	ap8 dan6	
鴨蛋圓	ap8 dan6 jyn4	
鴨嘴	ap8 dzœy2	
鴨嘴獸	ap8 dzœy2 sɐu3	
鴨掌	ap8 dzœŋ2	
鴨叫	ap8 giu3	
鴨腳	ap8 gœk8	
鴨肉	ap8 jʊk9	
鴨絨	ap8 jʊŋ4	
鴨絨毛	ap8 jʊŋ4 mou4	
鴨毛	ap8 mou4	
壓迫	at8 bak7	
壓迫感	at8 bak7 gɐm2	
壓扁	at8 bin2	
壓寶	at8 bou2	
壓倒	at8 dou2	
壓倒性	at8 dou2 sɪŋ3	
壓榨	at8 dza3	
壓榨機	at8 dza3 gei1	
遏止	at8 dzi2	
押注	at8 dzy3	
壓住	at8 dzy6	
遏制	at8 dzɐi3	
壓陣	at8 dzɐn6	
壓軸	at8 dzʊk9	
