開放粵語詞典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［劉錫祥拼音］	［國語解釋］

吖	a1	啊
吖啶	a1 ding6	
鴉雀無聲	a1 jeuk3 mo4 sing1	
吖嗱	a1 na4	吧
鴉片	a1 pin3	
鴉片戰爭	a1 pin3 jin3 jang1	
鴉片貿易	a1 pin3 mau6 yik6	
丫頭	a1 tau4	
丫鬟	a1 waan4	
啞巴	a2 ba1	
呀	a3	啊
亞爸	a3 ba1	爸爸
亞伯	a3 baak3	伯伯，伯父
亞保亞勝	a3 bo2 a3 sing3	張三李四
亞燦	a3 chaan3	從內地來香港的新移民
阿斗	a3 dau2	
亞斗官	a3 dau2 goon1	闊少爺，敗家子
阿飛	a3 fei1	
亞福	a3 fuk1	傻頭傻腦的人
亞甲亞乙	a3 gaap3 a3 yuet6	張三李四
亞錦賽	a3 gam2 choi3	
亞狗亞貓	a3 gau2 a3 maau1	張三李四
亞姑	a3 goo1	姑姑，姑母
亞公	a3 gung1	外祖父，老大爺
亞軍	a3 gwan1	
阿訇	a3 gwang1	
亞仔	a3 jai2	兒子
亞吱亞咗	a3 ji1 a3 joh2	推三阻四，不滿，妨礙
亞豬亞狗	a3 jue1 a3 gau2	張三李四
亞媽	a3 ma1	媽媽，母親
亞嬤	a3 ma4	奶奶，祖母
亞茂	a3 mau6	傻子，傻瓜
亞茂整餅	a3 mau6 jing2 beng2	沒事找事
亞茂整餅，冇嗰樣整嗰樣	a3 mau6 jing2 beng2 mo5 goh2 yeung2 jing2 goh2 yeung2	沒事找事，亂搞一氣
亞妹	a3 mooi2	妹妹
亞奶	a3 naai1	奶奶，祖母
亞奀	a3 ngan1	瘦子，瘦弱的小孩
亞女	a3 nui2	女兒
亞婆	a3 poh4	姥姥，外祖母
亞生	a3 saang1	先生
亞細	a3 sai2	小老婆
亞嬸	a3 sam2	嬸母，嬸子
亞sir	a3 seuh4	男老師，男上司，長官，警官
亞嫂	a3 so2	嫂子，嫂嫂，大嫂
亞傻	a3 soh4	傻瓜，傻子
亞誰	a3 sui4	誰，什麼人
亞叔	a3 suk1	叔叔，叔父
亞頭	a3 tau2	領導，頭目，領導者
亞頭	a3 tau2	領導，首領，頭頭兒
亞駝	a3 toh2	駝背的人
亞爺	a3 ye4	爺爺，祖父
亞姨	a3 yi1	姨母
亞裔	a3 yui6	
呀	a4	啊
衙	a4	嗎
唉唉聲	aai4 aai2 seng1	唉聲歎氣
鴨蛋	aap3 daan6	
鴨蛋圓	aap3 daan6 yuen4	
鴨腳	aap3 geuk3	
鴨叫	aap3 giu3	
鴨掌	aap3 jeung2	
鴨嘴	aap3 jui2	
鴨嘴獸	aap3 jui2 sau3	
鴨毛	aap3 mo4	
鴨肉	aap3 yuk6	
鴨絨	aap3 yung4	
鴨絨毛	aap3 yung4 mo4	
壓迫	aat3 baak1	
壓迫感	aat3 baak1 gam2	
壓扁	aat3 bin2	
壓寶	aat3 bo2	
壓低	aat3 dai1	
壓底	aat3 dai2	
壓倒	aat3 do2	
壓倒性	aat3 do2 sing3	
壓價	aat3 ga3	
押金	aat3 gam1	
壓根	aat3 gan1	
壓緊	aat3 gan2	
壓氣	aat3 hei3	
壓榨	aat3 ja3	
壓榨機	aat3 ja3 gei1	
遏制	aat3 jai3	
壓陣	aat3 jan6	
遏止	aat3 ji2	
押注	aat3 jue3	
壓住	aat3 jue6	
壓軸	aat3 juk6	
壓垮	aat3 kwa1	
壓力	aat3 lik6	
壓力表	aat3 lik6 biu2	
