開放粵語詞典（耶魯拼音調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［耶魯拼音］	［國語解釋］

吖	ā	啊
吖啶	ā dihng	
鴉雀無聲	ā jeuk mòuh sīng	
吖嗱	ā nàh	吧
鴉片	ā pin	
鴉片戰爭	ā pin jin jāng	
鴉片貿易	ā pin mauh yihk	
丫頭	ā tàuh	
丫鬟	ā wàahn	
啞巴	á bā	
呀	a	啊
亞爸	a bā	爸爸
亞伯	a baak	伯伯，伯父
亞保亞勝	a bóu a sing	張三李四
亞燦	a chaan	從內地來香港的新移民
阿斗	a dáu	
亞斗官	a dáu gūn	闊少爺，敗家子
阿飛	a fēi	
亞福	a fūk	傻頭傻腦的人
亞甲亞乙	a gaap a yuht	張三李四
亞錦賽	a gám choi	
亞狗亞貓	a gáu a māau	張三李四
亞姑	a gū	姑姑，姑母
亞公	a gūng	外祖父，老大爺
亞軍	a gwān	
阿訇	a gwāng	
亞仔	a jái	兒子
亞吱亞咗	a jī a jó	推三阻四，不滿，妨礙
亞豬亞狗	a jyū a gáu	張三李四
亞媽	a mā	媽媽，母親
亞嬤	a màh	奶奶，祖母
亞茂	a mauh	傻子，傻瓜
亞茂整餅	a mauh jíng béng	沒事找事
亞茂整餅，冇嗰樣整嗰樣	a mauh jíng béng móuh gó yeúng jíng gó yeúng	沒事找事，亂搞一氣
亞妹	a muí	妹妹
亞奶	a nāai	奶奶，祖母
亞女	a néui	女兒
亞奀	a ngān	瘦子，瘦弱的小孩
亞婆	a pòh	姥姥，外祖母
亞生	a sāang	先生
亞細	a sái	小老婆
亞嬸	a sám	嬸母，嬸子
亞sir	a sèuh	男老師，男上司，長官，警官
亞誰	a sèuih	誰，什麼人
亞傻	a sòh	傻瓜，傻子
亞嫂	a sóu	嫂子，嫂嫂，大嫂
亞叔	a sūk	叔叔，叔父
亞頭	a táu	領導，頭目，領導者
亞頭	a táu	領導，首領，頭頭兒
亞駝	a tó	駝背的人
亞爺	a yèh	爺爺，祖父
亞裔	a yeuih	
亞姨	a yī	姨母
呀	àh	啊
衙	àh	嗎
唉唉聲	àaih áai sēng	唉聲歎氣
鴨蛋	aap daahn	
鴨蛋圓	aap daahn yùhn	
鴨腳	aap geuk	
鴨叫	aap giu	
鴨嘴	aap jéui	
鴨嘴獸	aap jéui sau	
鴨掌	aap jeúng	
鴨毛	aap mòuh	
鴨肉	aap yuhk	
鴨絨	aap yùhng	
鴨絨毛	aap yùhng mòuh	
壓迫	aat bāak	
壓迫感	aat bāak gám	
壓扁	aat bín	
壓寶	aat bóu	
壓低	aat dāi	
壓底	aat dái	
壓倒	aat dóu	
壓倒性	aat dóu sing	
壓價	aat ga	
押金	aat gām	
壓根	aat gān	
壓緊	aat gán	
壓氣	aat hei	
壓榨	aat ja	
壓榨機	aat ja gēi	
遏制	aat jai	
壓陣	aat jahn	
遏止	aat jí	
壓軸	aat juhk	
押注	aat jyu	
壓住	aat jyuh	
壓垮	aat kwā	
壓力	aat lihk	
壓力表	aat lihk biú	
壓力計	aat lihk gai	
壓力鍋	aat lihk wō	
壓路	aat louh	
壓路機	aat louh gēi	
壓馬路	aat máh louh	
揠苗助長	aat miùh joh jeúng	
壓平	aat pìhng	
壓破	aat po	
壓歲	aat seui	
壓碎	aat seui	
壓歲錢	aat seui chìhn	
壓縮	aat sūk	
壓縮機	aat sūk gēi	
壓縮空氣	aat sūk hūng hei	
壓縮力	aat sūk lihk	
壓抑	aat yīk	
壓延	aat yìhn	
壓延機	aat yìhn gēi	
猰貐	aat yúh	
哎呀	āi ā	
IP	āi pī	督察
唉聲歎氣	āi sīng taan hei	
哎吔	āi ya	哎呀，哎喲
哎喲	āi yō	
齷齪	āk chūk	
握手	āk sáu	
扼腕	āk wún	
鵪鶉	ām seùhn	
鵪鶉蛋	ām seùhn daahn	
黯然銷魂	ám yìhn siū wàhn	
暗瘡	am chōng	粉刺，青春痘
暗礁	am jiū	
暗戀	am lyún	
暗示	am sih	
暗喻	am yuh	
罌粟花	āng sūk fā	
out	āu	過時，落伍
歐裔	āu yeuih	
嘔	áu	吐，嘔吐
毆打	áu dá	
嘔氣	áu hei	
嘔血	áu hyut	吐血
嘔心瀝血	áu sām līk hyut	
嘔心瀝血之作	áu sām līk hyut jī jok	
嘔吐	áu tou	
嘔吐物	áu tou maht	
凹凹凸凸	au au daht daht	
凹槽	au chòuh	
凹處	au chyu	
凹凸不平	au daht bāt pìhng	
凹凸鏡	au daht geng	
凹地	au deih	
凹洞	au duhng	
凹鏡	au geng	
凹陷	au haahm	
慪氣	au hei	
凹透鏡	au tau geng	
凹形	au yìhng	
巴閉	bā bai	了不起
疤痕	bā hàhn	
