開放粵語詞典（粵語拼音字調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］

呀	a	啊
衙	a	嗎
唉唉聲	ai ãi sëng	唉聲歎氣
啤啤	bi bï	小孩，嬰兒，嬰孩，小孩兒
啤啤車	bi bï cë	嬰兒車
啤啤仔	bi bï jãy	小嬰兒，小男孩，男嬰兒，小小子
啤啤女	bi bï nõy	女嬰兒，小女孩，小丫頭
磅	bong	給
磅水	bong sõy	給錢，交錢，付錢
半年	bun nin	
罷黜	bà cöt	
罷工	bà gönk	
罷就	bà jàw	算了，拉倒，罷了，作罷
罷了	bà líu	
罷手	bà sãw	
罷休	bà yäw	
白布	bàg bôw	
白灼	bàg ceôg	水煮，清煮，涮
白灼蝦	bàg ceôg hä	清煮蝦
白車	bàg cë	救護車
白癡	bàg cï	
白菜	bàg côi	
白醋	bàg côw	
白飯	bàg fàn	
白化	bàg fâ	
白髮	bàg fâd	
白費	bàg fây	
白費力氣	bàg fây lèk hêy	
白費心機	bàg fây sämp gëy	
白粉	bàg fãnt	海洛因，白麵兒
白粉檔	bàg fãnt dông	販賣毒品的場所
白花	bàg fä	
白霍	bàg fôg	輕浮，囂張，浮誇
白霍友	bàg fôg yãw	好出風頭的人，愛吹噓自己的人，傲慢的人
白灰	bàg füi	
白果	bàg guõ	
白光	bàg guöng	
帛金	bàg gämp	
白金	bàg gämp	
白鍵	bàg gìn	
白血病	bàg heûd bèng	
白血球	bàg heûd kaw	
白熊	bàg honk	
白鶴	bàg hòg	
白開水	bàg höi sõy	
白晝	bàg jâw	
白斬雞	bàg jãm gäy	白切雞
白酒	bàg jãw	
白淨	bàg jènk	白嫩
白撞雨	bàg jòng yeú	過雲雨
白做	bàg jòw	白幹一場
白粥	bàg jök	稀飯，稀粥
白紙	bàg jĩ	
白紙黑字	bàg jĩ häk jì	
白鯨	bàg kenk	
白旗	bàg key	
白蘭	bàg lan	
白蘭地	bàg lan dèy	
白蘭花	bàg lan fä	
白蓮教	bàg lin gâu	
白領	bàg lénk	
白領階級	bàg lénk gäi käp	
白鷺	bàg lòw	
白馬王子	bàg má wong jĩ	
白米	bàg máy	
白貓	bàg mäu	
白面	bàg mìn	
白面書生	bàg mìn seü sänk	
白木耳	bàg mòk yí	
白蒙蒙	bàg mönk mönk	雪白雪白的
白銀	bàg ngant	
白眼	bàg ngán	
白蟻	bàg ngáy	
白皮書	bàg pey seü	
白薯	bàg seu	
白雪	bàg seûd	
白雪雪	bàg seüd seüd	白白的，雪白
白鼠	bàg seũ	
白首	bàg sãw	
白手	bàg sãw	
白手起家	bàg sãw hẽy gä	
白紗	bàg sä	
白沙	bàg sä	
白嘥	bàg säi	白費
白蝕	bàg sèk	汗斑
白皙	bàg sëk	
白色	bàg sëk	
白水	bàg sõy	
白頭到老	bàg taw dôw lów	
白頭偕老	bàg taw gäi lów	
白頭翁	bàg taw yönk	
白糖	bàg tong	
白雲	bàg want	
白話	bàg wã	
白話	bàg wã	本地話，廣州話，廣府話，廣東話
白話文	bàg wã mant	
白話文學	bàg wã mant hòg	
白楊	bàg yeong	
白楊樹	bàg yeong seù	
白日夢	bàg yàt mònk	
白油	bàg yãw	醬油
白熱	bàg yìd	
白熱化	bàg yìd fâ	
白衣天使	bàg yï tïn sî	
白玉	bàg yòk	
白肉	bàg yòk	
白矮星	bàg ãy sënk	
白堊紀	bàg ôg gẽy	
敗北	bài bäk	
敗軍	bài guänt	
敗家	bài gä	
敗家仔	bài gä jãy	敗家子
敗家精	bài gä jënk	敗家子
敗血病	bài heûd bènk	
敗血症	bài heûd jênk	
敗興	bài hênk	
敗興而歸	bài hênk yi guäy	
敗仗	bài jeông	
敗將	bài jeông	
敗陣	bài jànt	
敗者為寇	bài jẽ way kâw	
敗落	bài lòg	
敗類	bài lòy	
敗事有餘	bài sì yáw yeu	
敗絮	bài sóy	
敗絮其中	bài sóy key jönk	
敗訴	bài sôw	
敗退	bài tôy	
敗壞	bài wài	
敗胃	bài wày	
扮	bàn	裝，裝作
湴	bàn	爛泥，稀泥
扮得意	bàn däk yî	裝可愛
扮代表	bàn dòi bĩu	裝模作樣
辦法	bàn fâd	
辦公室	bàn gönk sät	
扮豬食老虎	bàn jeü sèk lów fũ	佯裝愚蠢，裝瘋賣傻來佔便宜
扮靚	bàn lêng	打扮，打扮得漂漂亮亮
扮晒嘢	bàn sâi yé	裝模作樣
辦事	bàn sì	
辦事處	bàn sì ceû	
扮聽唔到	bàn tëng m dõw	裝作沒聽見
辦妥	bàn tõ	
扮嘢	bàn yé	裝模作樣，裝樣子，裝蒜，出風頭
扮英雄	bàn yënk honk	充英雄
扮演	bàn yĩn	
蹦蹦跳跳	bàng bàng tîu tîu	
繃帶	bàng dâi	
繃緊	bàng gãnt	
笨拙	bànt jeûd	
笨豬跳	bànt jeü tîu	蹦極跳，高空彈跳
拔除	bàt coy	
拔草	bàt cõw	
拔出	bàt cöt	
拔地而起	bàt dèy yi hẽy	
拔刀	bàt döw	
拔刀相助	bàt döw seöng jò	
拔腳	bàt geôg	
拔腿就跑	bàt geôg jàw pãu	
拔劍	bàt gîm	
拔河	bàt ho	
拔河比賽	bàt ho bẽy côi	
拔擢	bàt jòg	
拔群	bàt kuant	
拔苗助長	bàt miu jò jeõng	
拔毛	bàt mow	
拔錨	bàt nau	
拔牙	bàt nga	
拔身	bàt sänt	
跋涉	bàt sîb	
拔腿	bàt tõy	
跋扈	bàt wù	
鮑魚	bàu yeu	
弊	bày	糟，壞
弊傢伙	bày gä fõ	糟糕
陛下	bày hà	
弊喇	bày lâ	糟了，完了，壞了，糟糕
敝履	bày léy	
狴犴	bày ngòn	
敝人	bày yant	
弊案	bày ôn	
霸	bâ	佔
霸道	bâ dòw	
霸靚位	bâ lêng wäy	佔好位子
霸掗	bâ ngà	霸道
霸王	bâ wong	應付錢而不付錢
霸位	bâ wãy	佔位置，佔位子，佔位
八	bâd	八卦的，愛管閒事的
八寶	bâd bõw	
八寶飯	bâd bõw fàn	
八寶粥	bâd bõw jök	
八點	bâd dĩm	
八點鐘	bâd dĩm jönk	
八卦	bâd guâ	愛管閒事
八卦妹	bâd guâ müi	愛管閒事的女孩
八卦婆	bâd guâ põ	三八，饒舌婦
八國聯軍	bâd guôg leun guänt	
八九不離十	bâd gãw bät ley sàp	
八個字	bâd gô jì	四十分鍾
八角	bâd gôg	
八角形	bâd gôg yenk	
八股	bâd gũ	
八股文	bâd gũ mant	
八爪魚	bâd jãu yeu	章魚
八字	bâd jì	
八級	bâd käp	
八路軍	bâd lòw guänt	
八面玲瓏	bâd mìn lenk lonk	
八妹	bâd müi	愛管閒事的女孩
八年級	bâd nin käp	
八婆	bâd po	三八，饒舌婦
八成	bâd senk	
八十	bâd sàp	
八仙	bâd sïn	
八仙過海	bâd sïn guô hõi	
八月	bâd yeùd	
八月份	bâd yeùd fànt	
伯伯	bâg bâg	
百病	bâg bènk	
百病叢生	bâg bènk conk sänk	
百步穿楊	bâg bòw ceün yeong	
百般	bâg bün	
百讀不厭	bâg dòk bät yîm	
百發百中	bâg fâd bâg jônk	
百花齊放	bâg fä cay fông	
百花爭艷	bâg fä jänk yìm	
百花怒放	bâg fä nòw fông	
百分點	bâg fänt dĩm	
百貨	bâg fô	
百貨店	bâg fô dîm	
百貨公司	bâg fô gönk sï	
百貨商場	bâg fô seöng ceong	
百貨商店	bâg fô seöng dîm	
百貨業	bâg fô yìb	
百科	bâg fö	
百科全書	bâg fö ceun seü	百科全書
百科全書	bâg fö ceun seü	
伯父	bâg fù	
百感交集	bâg gãmp gäu jàb	
白鴿	bâg gãp	
百香果	bâg heöng guõ	
百香果汁	bâg heöng guõ jäp	
百看不厭	bâg hôn bät yîm	
百褶裙	bâg jîb kuant	
百折不撓	bâg jîd bät nau	
百足	bâg jök	蜈蚣
百靈	bâg lenk	
百靈鳥	bâg lenk níu	
百里香	bâg léy heöng	
百煉成鋼	bâg lìn senk gông	
百聞不如一見	bâg mant bät yeu yät gîn	
百無禁忌	bâg mow gâmp gèy	
百無聊賴	bâg mow liu lài	
百無一長	bâg mow yät ceong	
百無一失	bâg mow yät sät	
百萬	bâg màn	
百萬富翁	bâg màn fû yönk	
百萬雄師	bâg màn honk sï	
百物	bâg màt	
百米	bâg máy	
百米賽跑	bâg máy côi pãu	
百衲本	bâg nàb bũn	
百衲衣	bâg nàb yï	
百獸之王	bâg sâw jï wong	
百身莫贖	bâg sänt mòg sòk	
百思不得其解	bâg sï bät däk key gãi	
伯爺	bâg yë	父親
伯爺公	bâg yë gönk	老大爺，老頭兒
伯爺婆	bâg yë põ	老婆婆，老太婆
百葉窗	bâg yìb ceöng	
百厭	bâg yîm	調皮，淘氣
百厭仔	bâg yîm jãy	淘氣鬼
拜把	bâi bã	
拜把兄弟	bâi bã hënk dày	
拜讀	bâi dòk	
拜倒	bâi dõw	
拜倒石榴裙之下	bâi dõw sèg law kuant jï hà	
拜佛	bâi fät	
拜火教	bâi fõ gâu	
拜訪	bâi fõng	
拜金	bâi gämp	
拜金主義	bâi gämp jeũ yì	
拜見	bâi gîn	
拜祭	bâi jây	
拜袓先	bâi jõw sïn	
拜老師	bâi lów sï	
拜廟	bâi mìu	
拜偶像	bâi ngáw jeòng	
拜年	bâi nin	
拜票	bâi pîu	
拜神	bâi sant	
拜山	bâi sän	上墳，掃墓
拜師	bâi sï	
拜師學藝	bâi sï hòg ngày	
拜天地	bâi tïn dèy	
拜托	bâi tôg	
拜揖	bâi yäp	
扮煮飯仔	bân jeũ fàn jãy	過家家，玩過家家，扮家家酒
鬢邊	bânt bïn	
鬢髮	bânt fâd	
鬢髮皆白	bânt fâd gäi bàg	
鬢髮皓然	bânt fâd hòw yin	
鬢角	bânt gôg	
擯棄	bânt hêy	
殯殮	bânt lím	
鬢霜	bânt seöng	
殯儀館	bânt yi gũn	
爆	bâu	炸，破裂
爆煲	bâu böw	露餡兒，暴露
爆坼	bâu câg	皮膚皴裂
爆粗口	bâu cöw hãw	說粗話
爆發	bâu fâd	
爆火	bâu fõ	發脾氣
