開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］

吖	a1	啊
吖啶	a1 denk6	
鴉雀無聲	a1 jeog3 mow4 senk1	
吖嗱	a1 na4	吧
鴉片	a1 pin3	
鴉片戰爭	a1 pin3 jin3 jank1	
鴉片貿易	a1 pin3 maw6 yek6	
丫頭	a1 taw4	
丫鬟	a1 wan4	
啞巴	a2 ba1	
呀	a3	啊
亞爸	a3 ba1	爸爸
亞伯	a3 bag3	伯伯，伯父
亞保亞勝	a3 bow2 a3 senk3	張三李四
亞燦	a3 can3	從內地來香港的新移民
阿斗	a3 daw2	
亞斗官	a3 daw2 gun1	闊少爺，敗家子
阿飛	a3 fey1	
亞福	a3 fok1	傻頭傻腦的人
亞甲亞乙	a3 gab3 a3 yeud6	張三李四
亞錦賽	a3 gamp2 coi3	
亞狗亞貓	a3 gaw2 a3 mau1	張三李四
亞公	a3 gonk1	外祖父，老大爺
亞姑	a3 gu1	姑姑，姑母
阿訇	a3 guank1	
亞軍	a3 guant1	
亞仔	a3 jay2	兒子
亞豬亞狗	a3 jeu1 a3 gaw2	張三李四
亞吱亞咗	a3 ji1 a3 jo2	推三阻四，不滿，妨礙
亞媽	a3 ma1	媽媽，母親
亞嬤	a3 ma4	奶奶，祖母
亞茂	a3 maw6	傻子，傻瓜
亞茂整餅	a3 maw6 jenk2 beng2	沒事找事
亞茂整餅，冇嗰樣整嗰樣	a3 maw6 jenk2 beng2 mow5 go2 yeong2 jenk2 go2 yeong2	沒事找事，亂搞一氣
亞妹	a3 mui2	妹妹
亞奶	a3 nai1	奶奶，祖母
亞奀	a3 ngant1	瘦子，瘦弱的小孩
亞女	a3 noy2	女兒
亞婆	a3 po4	姥姥，外祖母
亞嬸	a3 samp2	嬸母，嬸子
亞生	a3 sang1	先生
亞細	a3 say2	小老婆
亞sir	a3 seo4	男老師，男上司，長官，警官
亞傻	a3 so4	傻瓜，傻子
亞叔	a3 sok1	叔叔，叔父
亞嫂	a3 sow2	嫂子，嫂嫂，大嫂
亞誰	a3 soy4	誰，什麼人
亞頭	a3 taw2	領導，頭目，領導者
亞頭	a3 taw2	領導，首領，頭頭兒
亞駝	a3 to2	駝背的人
亞爺	a3 ye4	爺爺，祖父
亞姨	a3 yi1	姨母
亞裔	a3 yoy6	
呀	a4	啊
衙	a4	嗎
鴨蛋	ab3 dan6	
鴨蛋圓	ab3 dan6 yeun4	
鴨腳	ab3 geog3	
鴨叫	ab3 giu3	
鴨掌	ab3 jeong2	
鴨嘴	ab3 joy2	
鴨嘴獸	ab3 joy2 saw3	
鴨毛	ab3 mow4	
鴨肉	ab3 yok6	
鴨絨	ab3 yonk4	
鴨絨毛	ab3 yonk4 mow4	
壓迫	ad3 bag1	
壓迫感	ad3 bag1 gamp2	
壓扁	ad3 bin2	
壓寶	ad3 bow2	
壓低	ad3 day1	
壓底	ad3 day2	
壓倒	ad3 dow2	
壓倒性	ad3 dow2 senk3	
壓價	ad3 ga3	
押金	ad3 gamp1	
壓根	ad3 gant1	
壓緊	ad3 gant2	
壓氣	ad3 hey3	
壓榨	ad3 ja3	
壓榨機	ad3 ja3 gey1	
壓陣	ad3 jant6	
遏制	ad3 jay3	
押注	ad3 jeu3	
壓住	ad3 jeu6	
遏止	ad3 ji2	
壓軸	ad3 jok6	
壓垮	ad3 kua1	
壓力	ad3 lek6	
壓力表	ad3 lek6 biu2	
壓力計	ad3 lek6 gay3	
壓力鍋	ad3 lek6 wo1	
