开放粤语词典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［国际音标］	［国语解释］

唉唉声	a:i˨˩ a:i˧˥ sɛ:ŋ˥	唉声叹气
鸭肉	a:p˧ jʊk˨	
鸭绒	a:p˧ jʊŋ˨˩	
鸭绒毛	a:p˧ jʊŋ˨˩ mou˨˩	
鸭叫	a:p˧ ki:u˧	
鸭脚	a:p˧ kœ:k˧	
鸭毛	a:p˧ mou˨˩	
鸭蛋	a:p˧ ta:n˨	
鸭蛋圆	a:p˧ ta:n˨ jy:n˨˩	
鸭掌	a:p˧ tsœ:ŋ˧˥	
鸭嘴	a:p˧ tsɵy˧˥	
鸭嘴兽	a:p˧ tsɵy˧˥ sɐu˧	
压气	a:t˧ hei˧	
压延	a:t˧ ji:n˨˩	
压延机	a:t˧ ji:n˨˩ kei˥	
猰貐	a:t˧ jy:˩˧	
压抑	a:t˧ jɪk˥	
压价	a:t˧ ka:˧	
押金	a:t˧ kɐm˥	
压根	a:t˧ kɐn˥	
压紧	a:t˧ kɐn˧˥	
压垮	a:t˧ kʰwa:˥	
压路	a:t˧ lou˨	
压路机	a:t˧ lou˨ kei˥	
压力	a:t˧ lɪk˨	
压力计	a:t˧ lɪk˨ kɐi˧	
压力表	a:t˧ lɪk˨ pi:u˧˥	
压力锅	a:t˧ lɪk˨ wɔ:˥	
压马路	a:t˧ ma:˩˧ lou˨	
揠苗助长	a:t˧ mi:u˨˩ tsɔ:˨ tsœ:ŋ˧˥	
压迫	a:t˧ pa:k˥	
压迫感	a:t˧ pa:k˥ kɐm˧˥	
压扁	a:t˧ pi:n˧˥	
压宝	a:t˧ pou˧˥	
压破	a:t˧ pʰɔ:˧	
压平	a:t˧ pʰɪŋ˨˩	
压碎	a:t˧ sɵy˧	
压岁	a:t˧ sɵy˧	
压岁钱	a:t˧ sɵy˧ tsʰi:n˨˩	
压缩	a:t˧ sʊk˥	
压缩空气	a:t˧ sʊk˥ hʊŋ˥ hei˧	
压缩机	a:t˧ sʊk˥ kei˥	
压缩力	a:t˧ sʊk˥ lɪk˨	
压倒	a:t˧ tou˧˥	
压倒性	a:t˧ tou˧˥ sɪŋ˧	
压榨	a:t˧ tsa:˧	
压榨机	a:t˧ tsa:˧ kei˥	
遏止	a:t˧ tsi:˧˥	
押注	a:t˧ tsy:˧	
压住	a:t˧ tsy:˨	
遏制	a:t˧ tsɐi˧	
压阵	a:t˧ tsɐn˨	
压轴	a:t˧ tsʊk˨	
压低	a:t˧ tɐi˥	
压底	a:t˧ tɐi˧˥	
吖	a:˥	啊
吖嗱	a:˥ na:˨˩	吧
鸦片	a:˥ pʰi:n˧	
