开放粤语词典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［广州拼音］	［国语解释］

吖	a1	啊
吖啶	a1 ding6	
吖嗱	a1 na4	吧
鸦片	a1 pin3	
鸦片战争	a1 pin3 jin3 zeng1	
鸦片贸易	a1 pin3 meo6 yig6	
丫头	a1 teo4	
丫鬟	a1 wan4	
鸦雀无声	a1 zêg3 mou4 xing1	
哑巴	a2 ba1	
呀	a3	啊
亚爸	a3 ba1	爸爸
亚伯	a3 bag3	伯伯，伯父
亚保亚胜	a3 bou2 a3 xing3	张三李四
亚灿	a3 can3	从内地来香港的新移民
阿斗	a3 deo2	
亚斗官	a3 deo2 gun1	阔少爷，败家子
亚福	a3 fug1	傻头傻脑的人
阿飞	a3 féi1	
亚甲亚乙	a3 gab3 a3 yud6	张三李四
亚锦赛	a3 gem2 coi3	
亚狗亚猫	a3 geo2 a3 mao1	张三李四
亚姑	a3 gu1	姑姑，姑母
亚公	a3 gung1	外祖父，老大爷
亚军	a3 gwen1	
阿訇	a3 gweng1	
亚吱亚咗	a3 ji1 a3 zo2	推三阻四，不满，妨碍
亚猪亚狗	a3 ju1 a3 geo2	张三李四
亚妈	a3 ma1	妈妈，母亲
亚嬷	a3 ma4	奶奶，祖母
亚茂	a3 meo6	傻子，傻瓜
亚茂整饼	a3 meo6 jing2 béng2	没事找事
亚茂整饼，冇嗰样整嗰样	a3 meo6 jing2 béng2 mou5 go2 yêng2 jing2 go2 yêng2	没事找事；乱搞一气
亚妹	a3 mui2	妹妹
亚奶	a3 nai1	奶奶，祖母
亚奀	a3 ngen1	瘦子，瘦弱的小孩
亚女	a3 nêu2	女儿
亚婆	a3 po4	姥姥，外祖母
亚生	a3 sang1	先生
亚细	a3 sei2	小老婆
亚婶	a3 sem2	婶母，婶子
亚傻	a3 so4	傻瓜，傻子
亚嫂	a3 sou2	嫂子，嫂嫂，大嫂
亚叔	a3 sug1	叔叔，叔父
亚sir	a3 sê4	男老师，男上司，长官，警官
亚谁	a3 sêu4	谁，什么人
阿头	a3 teo2	领导，头目，领导者
亚头	a3 teo2	领导，首领，头头儿
亚驼	a3 to2	驼背的人
亚姨	a3 yi1	姨母
亚爷	a3 yé4	爷爷，祖父
亚裔	a3 yêu6	
亚仔	a3 zei2	儿子
呀	a4	啊
衙	a4	吗
鸭蛋	ab3 dan6	
鸭蛋圆	ab3 dan6 yun4	
鸭叫	ab3 giu3	
鸭脚	ab3 gêg3	
鸭毛	ab3 mou4	
鸭肉	ab3 yug6	
鸭绒	ab3 yung4	
鸭绒毛	ab3 yung4 mou4	
鸭掌	ab3 zêng2	
鸭嘴	ab3 zêu2	
鸭嘴兽	ab3 zêu2 seo3	
压迫	ad3 bag1	
压迫感	ad3 bag1 gem2	
压扁	ad3 bin2	
压宝	ad3 bou2	
压低	ad3 dei1	
压底	ad3 dei2	
压倒	ad3 dou2	
压倒性	ad3 dou2 xing3	
压价	ad3 ga3	
押金	ad3 gem1	
压根	ad3 gen1	
压紧	ad3 gen2	
压气	ad3 héi3	
遏止	ad3 ji2	
押注	ad3 ju3	
压住	ad3 ju6	
压垮	ad3 kwa1	
压力	ad3 lig6	
压力表	ad3 lig6 biu2	
压力计	ad3 lig6 gei3	
压力锅	ad3 lig6 wo1	
压路	ad3 lou6	
压路机	ad3 lou6 géi1	
压马路	ad3 ma5 lou6	
揠苗助长	ad3 miu4 zo6 zêng2	
压平	ad3 ping4	
压破	ad3 po3	
压缩	ad3 sug1	
压缩机	ad3 sug1 géi1	
