开放粤语词典（黄锡凌调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［黄锡凌拼音］	［国语解释］

吖	'a	啊
吖啶	'a _dɪŋ	
鸦雀无声	'a ¯dzœk ˌmou 'sɪŋ	
鸦片	'a ¯pin	
鸦片贸易	'a ¯pin _mɐu _jik	
鸦片战争	'a ¯pin ¯dzin 'dzɐŋ	
吖嗱	'a ˌna	吧
丫头	'a ˌtɐu	
丫鬟	'a ˌwan	
巴揸	'ba 'dza	多嘴，爱管闲事
芭蕉	'ba 'dziu	
巴闭	'ba ¯bɐi	了不起
巴士	'ba ´si	公车，巴士，公共汽车
巴士站	'ba ´si _dzam	公车站，公共汽车站
巴士佬	'ba ´si ´lou	公车司机
疤痕	'ba ˌhɐn	
疤痕组织	'ba ˌhɐn ´dzou 'dzik	
芭蕾舞	'ba ˌlœy ˏmou	
巴黎帽	'ba ˌlɐi ´mou	贝雷帽
芭蕾	'ba ˏlœy	
吧女	'ba ˏnœy	酒吧女服务员
拜拜	'bai ¯bai	再见，拜拜
迫不得已	'bak 'bɐt 'dɐk ˏji	
迫击炮	'bak 'gik ¯pau	
迫于形势	'bak 'jy ˌjɪŋ ¯sɐi	
迫在眉睫	'bak _dzɔi ˌmei _dzit	
迫近	'bak _gɐn	
迫害	'bak _hɔi	
迫切	'bak ¯tsit	
迫使	'bak ´si	
班	'ban	群，伙
班	'ban	纠合，纠集，拉队伍，纠集同伙
班兵	'ban 'bɪŋ	请援兵，请人帮忙，请求援助，搬兵
斑鸠	'ban 'gɐu	
班戟	'ban 'kik	薄煎饼，薄烤饼，热香饼
班师	'ban 'si	
班师回朝	'ban 'si ˌwui ˌtsiu	
班车	'ban 'tsɛ	
班代表	'ban _dɔi ´biu	
班次	'ban ¯tsi	
班主任	'ban ´dzy _jɐm	
班长	'ban ´dzœŋ	
颁奖	'ban ´dzœŋ	
颁奖典礼	'ban ´dzœŋ ´din ˏlɐi	
颁奖礼	'ban ´dzœŋ ´lɐi	
班底	'ban ´dɐi	
班房	'ban ´fɔŋ	教室，课室
瘢痕	'ban ˌhɐn	
斑斓	'ban ˌlan	
班门弄斧	'ban ˌmun _lʊŋ ´fu	
班马	'ban ˏma	搬救兵，召集党徒，召集羽翼
斑马	'ban ˏma	
包	'bau	保证
包租	'bau 'dzou	租房又分租给他人
包租公	'bau 'dzou 'gʊŋ	二房东
包租婆	'bau 'dzou ´pɔ	二房东太太，二房东，女二房东
包装	'bau 'dzɔŋ	
包厢	'bau 'sœŋ	
包袱	'bau _fʊk	
包二奶	'bau _ji 'nai	有情妇，养小老婆
包括	'bau ¯kut	
褒贬	'bau ´bin	
包粽	'bau ´dzʊŋ	包粽子
包裹	'bau ´gwɔ	
包含	'bau ˌhɐm	
鲍鱼	'bau ˌjy	
包容	'bau ˌjʊŋ	
卑职	'bei 'dzik	
悲观	'bei 'gun	
裨益	'bei 'jik	
悲哀	'bei 'ɔi	
卑贱	'bei _dzin	
卑俗	'bei _dzʊk	
悲恸	'bei _dʊŋ	
悲剧	'bei _kɛk	
卑劣	'bei ¯lyt	
卑劣性	'bei ¯lyt ¯sɪŋ	
卑鄙	'bei ´pei	
卑鄙无耻	'bei ´pei ˌmou ´tsi	
悲惨	'bei ´tsam	
卑微	'bei ˌmei	
碑文	'bei ˌmɐn	
悲愤填膺	'bei ˏfɐn ˌtin 'jɪŋ	
BB机	'bi 'bi 'gei	呼叫机，BB机
逼	'bik	挤，拥挤
逼巴士	'bik 'ba ´si	挤公车，挤公共汽车
逼迫	'bik 'bak	
逼供	'bik 'gʊŋ	
逼冚晒	'bik _hɐm ¯sai	挤得紧紧的
逼入去	'bik _jɐp ¯hœy	挤进去
碧玉	'bik _jʊk	
碧绿	'bik _lʊk	
碧绿色	'bik _lʊk 'sik	
逼到鬼噉	'bik ¯dou ´gwɐi ´gɐm	挤得要命
逼到埋身	'bik ¯dou ˌmai 'sɐn	事情迫到头上来
逼过嚟	'bik ¯gwɔ ˌlei	挤过来
碧血	'bik ¯hyt	
壁纸	'bik ´dzi	
壁虎	'bik ´fu	
碧海	'bik ´hɔi	
壁画	'bik ´wa	
逼人	'bik ˌjɐn	拥挤
逼嚟逼去	'bik ˌlei 'bik ¯hœy	挤来挤去
壁炉	'bik ˌlou	
壁橱	'bik ˌtsœy	
逼上梁山	'bik ˏsœŋ ˌlœŋ 'san	
碧眼	'bik ˏŋan	
边	'bin	哪，哪里
鞭	'bin	鞭子
边疆	'bin 'gœŋ	
边一年	'bin 'jɐt ˌnin	哪一年
鞭笞	'bin 'tsi	
边度	'bin _dou	哪里
边日	'bin _jɐt	哪一天
边际	'bin ¯dzɐi	
边界	'bin ¯gai	
边界线	'bin ¯gai ¯sin	
边个	'bin ¯gɔ	谁，哪一个
边个噶	'bin ¯gɔ ¯ga	谁的？
边个嘅	'bin ¯gɔ ¯gɛ	谁的
鞭炮	'bin ¯pau	
边处	'bin ¯sy	哪里
边处系呢	'bin ¯sy _hɐi ¯lɛ	哪里哪里
鞭挞	'bin ¯tat	
边塞	'bin ¯tsɔi	
辫仔	'bin ´dzɐi	辫子
边种	'bin ´dzʊŋ	哪种
边境	'bin ´gɪŋ	
边防	'bin ˌfɔŋ	
边防要塞	'bin ˌfɔŋ ¯jiu ¯tsɔi	
边缘	'bin ˌjyn	
边有咁大只蛤乸随街跳	'bin ˏjɐu ¯gɐm _dai ¯dzɛk 'gɐp ´na ˌtsœy 'gai ¯tiu	天上不会掉馅儿饼，没有那么便宜的事
咇	'bit	吱
