开放粤语词典（黄锡凌数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［黄锡凌拼音］	［国语解释］

吖	a1	啊
鸦雀无声	a1 dzœk8 mou4 sɪŋ1	
吖啶	a1 dɪŋ6	
吖嗱	a1 na4	吧
鸦片	a1 pin3	
鸦片战争	a1 pin3 dzin3 dzɐŋ1	
鸦片贸易	a1 pin3 mɐu6 jik9	
丫头	a1 tɐu4	
丫鬟	a1 wan4	
哑巴	a2 ba1	
呀	a3	啊
亚爸	a3 ba1	爸爸
亚伯	a3 bak8	伯伯，伯父
亚保亚胜	a3 bou2 a3 sɪŋ3	张三李四
亚吱亚咗	a3 dzi1 a3 dzɔ2	推三阻四，不满，妨碍
亚猪亚狗	a3 dzy1 a3 gɐu2	张三李四
亚仔	a3 dzɐi2	儿子
阿斗	a3 dɐu2	
亚斗官	a3 dɐu2 gun1	阔少爷，败家子
阿飞	a3 fei1	
亚福	a3 fʊk7	傻头傻脑的人
亚甲亚乙	a3 gap8 a3 jyt9	张三李四
亚姑	a3 gu1	姑姑，姑母
亚军	a3 gwɐn1	
阿訇	a3 gwɐŋ1	
亚锦赛	a3 gɐm2 tsɔi3	
亚狗亚猫	a3 gɐu2 a3 mau1	张三李四
亚公	a3 gʊŋ1	外祖父，老大爷
亚姨	a3 ji1	姨母
亚裔	a3 jœy6	
亚爷	a3 jɛ4	爷爷，祖父
亚妈	a3 ma1	妈妈，母亲
亚嬷	a3 ma4	奶奶，祖母
亚妹	a3 mui2	妹妹
亚茂	a3 mɐu6	傻子，傻瓜
亚茂整饼	a3 mɐu6 dzɪŋ2 bɛŋ2	没事找事
亚茂整饼，冇嗰样整嗰样	a3 mɐu6 dzɪŋ2 bɛŋ2 mou5 gɔ2 jœŋ2 dzɪŋ2 gɔ2 jœŋ2	没事找事；乱搞一气
亚奶	a3 nai1	奶奶，祖母
亚女	a3 nœy2	女儿
亚婆	a3 pɔ4	姥姥，外祖母
亚生	a3 saŋ1	先生
亚嫂	a3 sou2	嫂子，嫂嫂，大嫂
亚谁	a3 sœy4	谁，什么人
亚细	a3 sɐi2	小老婆
亚婶	a3 sɐm2	婶母，婶子
亚傻	a3 sɔ4	傻瓜，傻子
亚sir	a3 sɛu4	男老师，男上司，长官，警官
亚叔	a3 sʊk7	叔叔，叔父
亚灿	a3 tsan3	从内地来香港的新移民
亚头	a3 tɐu2	领导，首领，头头儿
阿头	a3 tɐu2	领导，头目，领导者
亚驼	a3 tɔ2	驼背的人
亚奀	a3 ŋɐn1	瘦子，瘦弱的小孩
呀	a4	啊
衙	a4	吗
唉唉声	ai4 ai2 sɛŋ1	唉声叹气
鸭蛋	ap8 dan6	
鸭蛋圆	ap8 dan6 jyn4	
鸭嘴	ap8 dzœy2	
鸭嘴兽	ap8 dzœy2 sɐu3	
鸭掌	ap8 dzœŋ2	
鸭叫	ap8 giu3	
鸭脚	ap8 gœk8	
鸭肉	ap8 jʊk9	
鸭绒	ap8 jʊŋ4	
鸭绒毛	ap8 jʊŋ4 mou4	
鸭毛	ap8 mou4	
压迫	at8 bak7	
压迫感	at8 bak7 gɐm2	
压扁	at8 bin2	
压宝	at8 bou2	
压倒	at8 dou2	
压倒性	at8 dou2 sɪŋ3	
压榨	at8 dza3	
压榨机	at8 dza3 gei1	
遏止	at8 dzi2	
押注	at8 dzy3	
压住	at8 dzy6	
遏制	at8 dzɐi3	
压阵	at8 dzɐn6	
压轴	at8 dzʊk9	
压低	at8 dɐi1	
压底	at8 dɐi2	
压价	at8 ga3	
