开放粤语词典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［刘锡祥拼音］	［国语解释］

吖	a1	啊
吖啶	a1 ding6	
鸦雀无声	a1 jeuk3 mo4 sing1	
吖嗱	a1 na4	吧
鸦片	a1 pin3	
鸦片战争	a1 pin3 jin3 jang1	
鸦片贸易	a1 pin3 mau6 yik6	
丫头	a1 tau4	
丫鬟	a1 waan4	
哑巴	a2 ba1	
呀	a3	啊
亚爸	a3 ba1	爸爸
亚伯	a3 baak3	伯伯，伯父
亚保亚胜	a3 bo2 a3 sing3	张三李四
亚灿	a3 chaan3	从内地来香港的新移民
阿斗	a3 dau2	
亚斗官	a3 dau2 goon1	阔少爷，败家子
阿飞	a3 fei1	
亚福	a3 fuk1	傻头傻脑的人
亚甲亚乙	a3 gaap3 a3 yuet6	张三李四
亚锦赛	a3 gam2 choi3	
亚狗亚猫	a3 gau2 a3 maau1	张三李四
亚姑	a3 goo1	姑姑，姑母
亚公	a3 gung1	外祖父，老大爷
亚军	a3 gwan1	
阿訇	a3 gwang1	
亚仔	a3 jai2	儿子
亚吱亚咗	a3 ji1 a3 joh2	推三阻四，不满，妨碍
亚猪亚狗	a3 jue1 a3 gau2	张三李四
亚妈	a3 ma1	妈妈，母亲
亚嬷	a3 ma4	奶奶，祖母
亚茂	a3 mau6	傻子，傻瓜
亚茂整饼	a3 mau6 jing2 beng2	没事找事
亚茂整饼，冇嗰样整嗰样	a3 mau6 jing2 beng2 mo5 goh2 yeung2 jing2 goh2 yeung2	没事找事；乱搞一气
亚妹	a3 mooi2	妹妹
亚奶	a3 naai1	奶奶，祖母
亚奀	a3 ngan1	瘦子，瘦弱的小孩
亚女	a3 nui2	女儿
亚婆	a3 poh4	姥姥，外祖母
亚生	a3 saang1	先生
亚细	a3 sai2	小老婆
亚婶	a3 sam2	婶母，婶子
亚sir	a3 seuh4	男老师，男上司，长官，警官
亚嫂	a3 so2	嫂子，嫂嫂，大嫂
亚傻	a3 soh4	傻瓜，傻子
亚谁	a3 sui4	谁，什么人
亚叔	a3 suk1	叔叔，叔父
阿头	a3 tau2	领导，头目，领导者
亚头	a3 tau2	领导，首领，头头儿
亚驼	a3 toh2	驼背的人
亚爷	a3 ye4	爷爷，祖父
亚姨	a3 yi1	姨母
亚裔	a3 yui6	
呀	a4	啊
衙	a4	吗
唉唉声	aai4 aai2 seng1	唉声叹气
鸭蛋	aap3 daan6	
鸭蛋圆	aap3 daan6 yuen4	
鸭脚	aap3 geuk3	
鸭叫	aap3 giu3	
鸭掌	aap3 jeung2	
鸭嘴	aap3 jui2	
鸭嘴兽	aap3 jui2 sau3	
鸭毛	aap3 mo4	
鸭肉	aap3 yuk6	
鸭绒	aap3 yung4	
鸭绒毛	aap3 yung4 mo4	
压迫	aat3 baak1	
压迫感	aat3 baak1 gam2	
压扁	aat3 bin2	
压宝	aat3 bo2	
压低	aat3 dai1	
压底	aat3 dai2	
压倒	aat3 do2	
压倒性	aat3 do2 sing3	
压价	aat3 ga3	
押金	aat3 gam1	
压根	aat3 gan1	
压紧	aat3 gan2	
压气	aat3 hei3	
压榨	aat3 ja3	
压榨机	aat3 ja3 gei1	
遏制	aat3 jai3	
压阵	aat3 jan6	
遏止	aat3 ji2	
押注	aat3 jue3	
压住	aat3 jue6	
压轴	aat3 juk6	
压垮	aat3 kwa1	
压力	aat3 lik6	
压力表	aat3 lik6 biu2	
压力计	aat3 lik6 gai3	
压力锅	aat3 lik6 woh1	
压路	aat3 lo6	
压路机	aat3 lo6 gei1	
