开放粤语词典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［耶鲁拼音］	［国语解释］

吖	ā	啊
吖啶	ā dihng	
鸦雀无声	ā jeuk mòuh sīng	
吖嗱	ā nàh	吧
鸦片	ā pin	
鸦片战争	ā pin jin jāng	
鸦片贸易	ā pin mauh yihk	
丫头	ā tàuh	
丫鬟	ā wàahn	
哑巴	á bā	
呀	a	啊
亚爸	a bā	爸爸
亚伯	a baak	伯伯，伯父
亚保亚胜	a bóu a sing	张三李四
亚灿	a chaan	从内地来香港的新移民
阿斗	a dáu	
亚斗官	a dáu gūn	阔少爷，败家子
阿飞	a fēi	
亚福	a fūk	傻头傻脑的人
亚甲亚乙	a gaap a yuht	张三李四
亚锦赛	a gám choi	
亚狗亚猫	a gáu a māau	张三李四
亚姑	a gū	姑姑，姑母
亚公	a gūng	外祖父，老大爷
亚军	a gwān	
阿訇	a gwāng	
亚仔	a jái	儿子
亚吱亚咗	a jī a jó	推三阻四，不满，妨碍
亚猪亚狗	a jyū a gáu	张三李四
亚妈	a mā	妈妈，母亲
亚嬷	a màh	奶奶，祖母
亚茂	a mauh	傻子，傻瓜
亚茂整饼	a mauh jíng béng	没事找事
亚茂整饼，冇嗰样整嗰样	a mauh jíng béng móuh gó yeúng jíng gó yeúng	没事找事；乱搞一气
亚妹	a muí	妹妹
亚奶	a nāai	奶奶，祖母
亚女	a néui	女儿
亚奀	a ngān	瘦子，瘦弱的小孩
亚婆	a pòh	姥姥，外祖母
亚生	a sāang	先生
亚细	a sái	小老婆
亚婶	a sám	婶母，婶子
亚sir	a sèuh	男老师，男上司，长官，警官
亚谁	a sèuih	谁，什么人
亚傻	a sòh	傻瓜，傻子
亚嫂	a sóu	嫂子，嫂嫂，大嫂
亚叔	a sūk	叔叔，叔父
阿头	a táu	领导，头目，领导者
亚头	a táu	领导，首领，头头儿
亚驼	a tó	驼背的人
亚爷	a yèh	爷爷，祖父
亚裔	a yeuih	
亚姨	a yī	姨母
呀	àh	啊
衙	àh	吗
唉唉声	àaih áai sēng	唉声叹气
鸭蛋	aap daahn	
鸭蛋圆	aap daahn yùhn	
鸭脚	aap geuk	
鸭叫	aap giu	
鸭嘴	aap jéui	
鸭嘴兽	aap jéui sau	
鸭掌	aap jeúng	
鸭毛	aap mòuh	
鸭肉	aap yuhk	
鸭绒	aap yùhng	
鸭绒毛	aap yùhng mòuh	
压迫	aat bāak	
压迫感	aat bāak gám	
压扁	aat bín	
压宝	aat bóu	
压低	aat dāi	
压底	aat dái	
压倒	aat dóu	
压倒性	aat dóu sing	
压价	aat ga	
押金	aat gām	
压根	aat gān	
压紧	aat gán	
压气	aat hei	
压榨	aat ja	
压榨机	aat ja gēi	
遏制	aat jai	
压阵	aat jahn	
遏止	aat jí	
压轴	aat juhk	
押注	aat jyu	
压住	aat jyuh	
压垮	aat kwā	
压力	aat lihk	
压力表	aat lihk biú	
压力计	aat lihk gai	
压力锅	aat lihk wō	
压路	aat louh	
压路机	aat louh gēi	
压马路	aat máh louh	
揠苗助长	aat miùh joh jeúng	
压平	aat pìhng	
压破	aat po	
压岁	aat seui	
压碎	aat seui	
压岁钱	aat seui chìhn	
压缩	aat sūk	
压缩机	aat sūk gēi	
压缩空气	aat sūk hūng hei	
压缩力	aat sūk lihk	
压抑	aat yīk	
压延	aat yìhn	
压延机	aat yìhn gēi	
猰貐	aat yúh	
哎呀	āi ā	
IP	āi pī	督察
唉声叹气	āi sīng taan hei	
哎吔	āi ya	哎呀，哎哟
哎哟	āi yō	
龌龊	āk chūk	
握手	āk sáu	
扼腕	āk wún	
鹌鹑	ām seùhn	
鹌鹑蛋	ām seùhn daahn	
黯然销魂	ám yìhn siū wàhn	
暗疮	am chōng	粉刺，青春痘
暗礁	am jiū	
暗恋	am lyún	
暗示	am sih	
暗喻	am yuh	
罂粟花	āng sūk fā	
out	āu	过时，落伍
欧裔	āu yeuih	
呕	áu	吐，呕吐
殴打	áu dá	
呕气	áu hei	
呕血	áu hyut	吐血
呕心沥血	áu sām līk hyut	
呕心沥血之作	áu sām līk hyut jī jok	
呕吐	áu tou	
呕吐物	áu tou maht	
凹凹凸凸	au au daht daht	
凹槽	au chòuh	
凹处	au chyu	
凹凸不平	au daht bāt pìhng	
凹凸镜	au daht geng	
凹地	au deih	
凹洞	au duhng	
凹镜	au geng	
凹陷	au haahm	
怄气	au hei	
凹透镜	au tau geng	
凹形	au yìhng	
巴闭	bā bai	了不起
疤痕	bā hàhn	
疤痕组织	bā hàhn jóu jīk	
巴揸	bā jā	多嘴，爱管闲事
芭蕉	bā jiū	
巴黎帽	bā làih móu	贝雷帽
芭蕾舞	bā lèuih móuh	
