开放粤语词典（耶鲁拼音数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［耶鲁拼音］	［国语解释］

吖	a1	啊
吖啶	a1 ding6	
鸦雀无声	a1 jeuk8 mou4 sing1	
吖嗱	a1 na4	吧
鸦片	a1 pin3	
鸦片战争	a1 pin3 jin3 jang1	
鸦片贸易	a1 pin3 mau6 yik9	
丫头	a1 tau4	
丫鬟	a1 waan4	
哑巴	a2 ba1	
呀	a3	啊
亚爸	a3 ba1	爸爸
亚伯	a3 baak8	伯伯，伯父
亚保亚胜	a3 bou2 a3 sing3	张三李四
亚灿	a3 chaan3	从内地来香港的新移民
阿斗	a3 dau2	
亚斗官	a3 dau2 gun1	阔少爷，败家子
阿飞	a3 fei1	
亚福	a3 fuk7	傻头傻脑的人
亚甲亚乙	a3 gaap8 a3 yut9	张三李四
亚锦赛	a3 gam2 choi3	
亚狗亚猫	a3 gau2 a3 maau1	张三李四
亚姑	a3 gu1	姑姑，姑母
亚公	a3 gung1	外祖父，老大爷
亚军	a3 gwan1	
阿訇	a3 gwang1	
亚仔	a3 jai2	儿子
亚吱亚咗	a3 ji1 a3 jo2	推三阻四，不满，妨碍
亚猪亚狗	a3 jyu1 a3 gau2	张三李四
亚妈	a3 ma1	妈妈，母亲
亚嬷	a3 ma4	奶奶，祖母
亚茂	a3 mau6	傻子，傻瓜
亚茂整饼	a3 mau6 jing2 beng2	没事找事
亚茂整饼，冇嗰样整嗰样	a3 mau6 jing2 beng2 mou5 go2 yeung2 jing2 go2 yeung2	没事找事；乱搞一气
亚妹	a3 mui2	妹妹
亚奶	a3 naai1	奶奶，祖母
亚女	a3 neui2	女儿
亚奀	a3 ngan1	瘦子，瘦弱的小孩
亚婆	a3 po4	姥姥，外祖母
亚生	a3 saang1	先生
亚细	a3 sai2	小老婆
亚婶	a3 sam2	婶母，婶子
亚sir	a3 seu4	男老师，男上司，长官，警官
亚谁	a3 seui4	谁，什么人
亚傻	a3 so4	傻瓜，傻子
亚嫂	a3 sou2	嫂子，嫂嫂，大嫂
亚叔	a3 suk7	叔叔，叔父
阿头	a3 tau2	领导，头目，领导者
亚头	a3 tau2	领导，首领，头头儿
亚驼	a3 to2	驼背的人
亚爷	a3 ye4	爷爷，祖父
亚裔	a3 yeui6	
亚姨	a3 yi1	姨母
呀	a4	啊
衙	a4	吗
唉唉声	aai4 aai2 seng1	唉声叹气
鸭蛋	aap8 daan6	
鸭蛋圆	aap8 daan6 yun4	
鸭脚	aap8 geuk8	
鸭叫	aap8 giu3	
鸭嘴	aap8 jeui2	
鸭嘴兽	aap8 jeui2 sau3	
鸭掌	aap8 jeung2	
鸭毛	aap8 mou4	
鸭肉	aap8 yuk9	
鸭绒	aap8 yung4	
鸭绒毛	aap8 yung4 mou4	
压迫	aat8 baak7	
压迫感	aat8 baak7 gam2	
压扁	aat8 bin2	
压宝	aat8 bou2	
压低	aat8 dai1	
压底	aat8 dai2	
压倒	aat8 dou2	
压倒性	aat8 dou2 sing3	
压价	aat8 ga3	
押金	aat8 gam1	
压根	aat8 gan1	
压紧	aat8 gan2	
压气	aat8 hei3	
压榨	aat8 ja3	
压榨机	aat8 ja3 gei1	
遏制	aat8 jai3	
压阵	aat8 jan6	
遏止	aat8 ji2	
压轴	aat8 juk9	
押注	aat8 jyu3	
压住	aat8 jyu6	
压垮	aat8 kwa1	
压力	aat8 lik9	
压力表	aat8 lik9 biu2	
压力计	aat8 lik9 gai3	
压力锅	aat8 lik9 wo1	
压路	aat8 lou6	
