开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］

吖	a1	啊
吖啶	a1 denk6	
鸦雀无声	a1 jeog3 mow4 senk1	
吖嗱	a1 na4	吧
鸦片	a1 pin3	
鸦片战争	a1 pin3 jin3 jank1	
鸦片贸易	a1 pin3 maw6 yek6	
丫头	a1 taw4	
丫鬟	a1 wan4	
哑巴	a2 ba1	
呀	a3	啊
亚爸	a3 ba1	爸爸
亚伯	a3 bag3	伯伯，伯父
亚保亚胜	a3 bow2 a3 senk3	张三李四
亚灿	a3 can3	从内地来香港的新移民
阿斗	a3 daw2	
亚斗官	a3 daw2 gun1	阔少爷，败家子
阿飞	a3 fey1	
亚福	a3 fok1	傻头傻脑的人
亚甲亚乙	a3 gab3 a3 yeud6	张三李四
亚锦赛	a3 gamp2 coi3	
亚狗亚猫	a3 gaw2 a3 mau1	张三李四
亚公	a3 gonk1	外祖父，老大爷
亚姑	a3 gu1	姑姑，姑母
阿訇	a3 guank1	
亚军	a3 guant1	
亚仔	a3 jay2	儿子
亚猪亚狗	a3 jeu1 a3 gaw2	张三李四
亚吱亚咗	a3 ji1 a3 jo2	推三阻四，不满，妨碍
亚妈	a3 ma1	妈妈，母亲
亚嬷	a3 ma4	奶奶，祖母
亚茂	a3 maw6	傻子，傻瓜
亚茂整饼	a3 maw6 jenk2 beng2	没事找事
亚茂整饼，冇嗰样整嗰样	a3 maw6 jenk2 beng2 mow5 go2 yeong2 jenk2 go2 yeong2	没事找事；乱搞一气
亚妹	a3 mui2	妹妹
亚奶	a3 nai1	奶奶，祖母
亚奀	a3 ngant1	瘦子，瘦弱的小孩
亚女	a3 noy2	女儿
亚婆	a3 po4	姥姥，外祖母
亚婶	a3 samp2	婶母，婶子
亚生	a3 sang1	先生
亚细	a3 say2	小老婆
亚sir	a3 seo4	男老师，男上司，长官，警官
亚傻	a3 so4	傻瓜，傻子
亚叔	a3 sok1	叔叔，叔父
亚嫂	a3 sow2	嫂子，嫂嫂，大嫂
亚谁	a3 soy4	谁，什么人
阿头	a3 taw2	领导，头目，领导者
亚头	a3 taw2	领导，首领，头头儿
亚驼	a3 to2	驼背的人
亚爷	a3 ye4	爷爷，祖父
亚姨	a3 yi1	姨母
亚裔	a3 yoy6	
呀	a4	啊
衙	a4	吗
鸭蛋	ab3 dan6	
鸭蛋圆	ab3 dan6 yeun4	
鸭脚	ab3 geog3	
鸭叫	ab3 giu3	
鸭掌	ab3 jeong2	
鸭嘴	ab3 joy2	
鸭嘴兽	ab3 joy2 saw3	
鸭毛	ab3 mow4	
鸭肉	ab3 yok6	
鸭绒	ab3 yonk4	
鸭绒毛	ab3 yonk4 mow4	
压迫	ad3 bag1	
压迫感	ad3 bag1 gamp2	
压扁	ad3 bin2	
压宝	ad3 bow2	
压低	ad3 day1	
压底	ad3 day2	
压倒	ad3 dow2	
压倒性	ad3 dow2 senk3	
压价	ad3 ga3	
押金	ad3 gamp1	
压根	ad3 gant1	
压紧	ad3 gant2	
压气	ad3 hey3	
压榨	ad3 ja3	
压榨机	ad3 ja3 gey1	
压阵	ad3 jant6	
遏制	ad3 jay3	
押注	ad3 jeu3	
压住	ad3 jeu6	
遏止	ad3 ji2	
压轴	ad3 jok6	
压垮	ad3 kua1	
压力	ad3 lek6	
压力表	ad3 lek6 biu2	
压力计	ad3 lek6 gay3	
压力锅	ad3 lek6 wo1	
压路	ad3 low6	
压路机	ad3 low6 gey1	
压马路	ad3 ma5 low6	
