开放粤语词典（粤语拼音字调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］

呀	a	啊
衙	a	吗
唉唉声	ai ãi sëng	唉声叹气
啤啤	bi bï	小孩，婴儿，婴孩，小孩儿
啤啤车	bi bï cë	婴儿车
啤啤仔	bi bï jãy	小婴儿，小男孩，男婴儿，小小子
啤啤女	bi bï nõy	女婴儿，小女孩，小丫头
磅	bong	给
磅水	bong sõy	给钱，交钱，付钱
半年	bun nin	
罢黜	bà cöt	
罢工	bà gönk	
罢就	bà jàw	算了，拉倒，罢了，作罢
罢了	bà líu	
罢手	bà sãw	
罢休	bà yäw	
白布	bàg bôw	
白灼	bàg ceôg	水煮，清煮，涮
白灼虾	bàg ceôg hä	清煮虾
白车	bàg cë	救护车
白痴	bàg cï	
白菜	bàg côi	
白醋	bàg côw	
白饭	bàg fàn	
白化	bàg fâ	
白发	bàg fâd	
白费	bàg fây	
白费力气	bàg fây lèk hêy	
白费心机	bàg fây sämp gëy	
白粉	bàg fãnt	海洛因，白面儿
白粉档	bàg fãnt dông	贩卖毒品的场所
白花	bàg fä	
白霍	bàg fôg	轻浮，嚣张，浮夸
白霍友	bàg fôg yãw	好出风头的人，爱吹嘘自己的人，傲慢的人
白灰	bàg füi	
白果	bàg guõ	
白光	bàg guöng	
帛金	bàg gämp	
白金	bàg gämp	
白键	bàg gìn	
白血病	bàg heûd bèng	
白血球	bàg heûd kaw	
白熊	bàg honk	
白鹤	bàg hòg	
白开水	bàg höi sõy	
白昼	bàg jâw	
白斩鸡	bàg jãm gäy	白切鸡
白酒	bàg jãw	
白净	bàg jènk	白嫩
白撞雨	bàg jòng yeú	过云雨
白做	bàg jòw	白干一场
白粥	bàg jök	稀饭，稀粥
白纸	bàg jĩ	
白纸黑字	bàg jĩ häk jì	
白鲸	bàg kenk	
白旗	bàg key	
白兰	bàg lan	
白兰地	bàg lan dèy	
白兰花	bàg lan fä	
白莲教	bàg lin gâu	
白领	bàg lénk	
白领阶级	bàg lénk gäi käp	
白鹭	bàg lòw	
白马王子	bàg má wong jĩ	
白米	bàg máy	
白猫	bàg mäu	
白面	bàg mìn	
白面书生	bàg mìn seü sänk	
白木耳	bàg mòk yí	
白蒙蒙	bàg mönk mönk	雪白雪白的
白银	bàg ngant	
白眼	bàg ngán	
白蚁	bàg ngáy	
白皮书	bàg pey seü	
白薯	bàg seu	
白雪	bàg seûd	
白雪雪	bàg seüd seüd	白白的，雪白
白鼠	bàg seũ	
白首	bàg sãw	
白手	bàg sãw	
白手起家	bàg sãw hẽy gä	
白纱	bàg sä	
白沙	bàg sä	
白嘥	bàg säi	白费
白蚀	bàg sèk	汗斑
白皙	bàg sëk	
白色	bàg sëk	
白水	bàg sõy	
白头到老	bàg taw dôw lów	
白头偕老	bàg taw gäi lów	
白头翁	bàg taw yönk	
白糖	bàg tong	
白云	bàg want	
白话	bàg wã	
白话	bàg wã	本地话，广州话，广府话，广东话
白话文	bàg wã mant	
白话文学	bàg wã mant hòg	
白杨	bàg yeong	
白杨树	bàg yeong seù	
白日梦	bàg yàt mònk	
白油	bàg yãw	酱油
白热	bàg yìd	
白热化	bàg yìd fâ	
白衣天使	bàg yï tïn sî	
白玉	bàg yòk	
白肉	bàg yòk	
白矮星	bàg ãy sënk	
白垩纪	bàg ôg gẽy	
败北	bài bäk	
败军	bài guänt	
败家	bài gä	
败家仔	bài gä jãy	败家子
败家精	bài gä jënk	败家子
败血病	bài heûd bènk	
败血症	bài heûd jênk	
败兴	bài hênk	
败兴而归	bài hênk yi guäy	
败仗	bài jeông	
败将	bài jeông	
败阵	bài jànt	
败者为寇	bài jẽ way kâw	
败落	bài lòg	
败类	bài lòy	
败事有余	bài sì yáw yeu	
败絮	bài sóy	
败絮其中	bài sóy key jönk	
败诉	bài sôw	
败退	bài tôy	
败坏	bài wài	
败胃	bài wày	
扮	bàn	装，装作
湴	bàn	烂泥，稀泥
扮得意	bàn däk yî	装可爱
扮代表	bàn dòi bĩu	装模作样
办法	bàn fâd	
办公室	bàn gönk sät	
扮猪食老虎	bàn jeü sèk lów fũ	佯装愚蠢，装疯卖傻来占便宜
扮靓	bàn lêng	打扮，打扮得漂漂亮亮
扮晒嘢	bàn sâi yé	装模作样
办事	bàn sì	
办事处	bàn sì ceû	
扮听唔到	bàn tëng m dõw	装作没听见
办妥	bàn tõ	
扮嘢	bàn yé	装模作样，装样子，装蒜，出风头
扮英雄	bàn yënk honk	充英雄
扮演	bàn yĩn	
蹦蹦跳跳	bàng bàng tîu tîu	
绷带	bàng dâi	
绷紧	bàng gãnt	
笨拙	bànt jeûd	
笨猪跳	bànt jeü tîu	蹦极跳，高空弹跳
拔除	bàt coy	
拔草	bàt cõw	
拔出	bàt cöt	
拔地而起	bàt dèy yi hẽy	
拔刀	bàt döw	
拔刀相助	bàt döw seöng jò	
拔脚	bàt geôg	
拔腿就跑	bàt geôg jàw pãu	
拔剑	bàt gîm	
拔河	bàt ho	
拔河比赛	bàt ho bẽy côi	
拔擢	bàt jòg	
拔群	bàt kuant	
拔苗助长	bàt miu jò jeõng	
拔毛	bàt mow	
拔锚	bàt nau	
拔牙	bàt nga	
拔身	bàt sänt	
跋涉	bàt sîb	
拔腿	bàt tõy	
跋扈	bàt wù	
鲍鱼	bàu yeu	
弊	bày	糟，坏
弊家伙	bày gä fõ	糟糕
陛下	bày hà	
弊喇	bày lâ	糟了，完了，坏了，糟糕
敝履	bày léy	
狴犴	bày ngòn	
敝人	bày yant	
弊案	bày ôn	
霸	bâ	占
霸道	bâ dòw	
霸靓位	bâ lêng wäy	占好位子
霸挜	bâ ngà	霸道
霸王	bâ wong	应付钱而不付钱
霸位	bâ wãy	占位置，占位子，占位
八	bâd	八卦的，爱管闲事的
八宝	bâd bõw	
八宝饭	bâd bõw fàn	
八宝粥	bâd bõw jök	
八点	bâd dĩm	
八点钟	bâd dĩm jönk	
八卦	bâd guâ	爱管闲事
八卦妹	bâd guâ müi	爱管闲事的女孩
八卦婆	bâd guâ põ	三八，饶舌妇
八国联军	bâd guôg leun guänt	
八九不离十	bâd gãw bät ley sàp	
八个字	bâd gô jì	四十分钟
八角	bâd gôg	
八角形	bâd gôg yenk	
八股	bâd gũ	
八股文	bâd gũ mant	
八爪鱼	bâd jãu yeu	章鱼
八字	bâd jì	
八级	bâd käp	
八路军	bâd lòw guänt	
八面玲珑	bâd mìn lenk lonk	
八妹	bâd müi	爱管闲事的女孩
八年级	bâd nin käp	
八婆	bâd po	三八，饶舌妇
八成	bâd senk	
八十	bâd sàp	
八仙	bâd sïn	
八仙过海	bâd sïn guô hõi	
八月	bâd yeùd	
八月份	bâd yeùd fànt	
伯伯	bâg bâg	
百病	bâg bènk	
百病丛生	bâg bènk conk sänk	
百步穿杨	bâg bòw ceün yeong	
百般	bâg bün	
百读不厌	bâg dòk bät yîm	
百发百中	bâg fâd bâg jônk	
百花齐放	bâg fä cay fông	
百花争艳	bâg fä jänk yìm	
百花怒放	bâg fä nòw fông	
百分点	bâg fänt dĩm	
百货	bâg fô	
百货店	bâg fô dîm	
百货公司	bâg fô gönk sï	
百货商场	bâg fô seöng ceong	
百货商店	bâg fô seöng dîm	
百货业	bâg fô yìb	
百科	bâg fö	
百科全书	bâg fö ceun seü	百科全书
百科全书	bâg fö ceun seü	
伯父	bâg fù	
百感交集	bâg gãmp gäu jàb	
白鸽	bâg gãp	
百香果	bâg heöng guõ	
百香果汁	bâg heöng guõ jäp	
百看不厌	bâg hôn bät yîm	
百褶裙	bâg jîb kuant	
百折不挠	bâg jîd bät nau	
百足	bâg jök	蜈蚣
百灵	bâg lenk	
百灵鸟	bâg lenk níu	
百里香	bâg léy heöng	
百炼成钢	bâg lìn senk gông	
百闻不如一见	bâg mant bät yeu yät gîn	
百无禁忌	bâg mow gâmp gèy	
百无聊赖	bâg mow liu lài	
百无一长	bâg mow yät ceong	
百无一失	bâg mow yät sät	
百万	bâg màn	
百万富翁	bâg màn fû yönk	
百万雄师	bâg màn honk sï	
百物	bâg màt	
百米	bâg máy	
百米赛跑	bâg máy côi pãu	
百衲本	bâg nàb bũn	
百衲衣	bâg nàb yï	
百兽之王	bâg sâw jï wong	
百身莫赎	bâg sänt mòg sòk	
百思不得其解	bâg sï bät däk key gãi	
伯爷	bâg yë	父亲
伯爷公	bâg yë gönk	老大爷，老头儿
伯爷婆	bâg yë põ	老婆婆，老太婆
百叶窗	bâg yìb ceöng	
百厌	bâg yîm	调皮，淘气
百厌仔	bâg yîm jãy	淘气鬼
拜把	bâi bã	
拜把兄弟	bâi bã hënk dày	
拜读	bâi dòk	
拜倒	bâi dõw	
拜倒石榴裙之下	bâi dõw sèg law kuant jï hà	
拜佛	bâi fät	
拜火教	bâi fõ gâu	
拜访	bâi fõng	
拜金	bâi gämp	
拜金主义	bâi gämp jeũ yì	
拜见	bâi gîn	
拜祭	bâi jây	
拜袓先	bâi jõw sïn	
拜老师	bâi lów sï	
拜庙	bâi mìu	
拜偶像	bâi ngáw jeòng	
拜年	bâi nin	
拜票	bâi pîu	
拜神	bâi sant	
拜山	bâi sän	上坟，扫墓
拜师	bâi sï	
拜师学艺	bâi sï hòg ngày	
拜天地	bâi tïn dèy	
拜托	bâi tôg	
拜揖	bâi yäp	
扮煮饭仔	bân jeũ fàn jãy	过家家，玩过家家，扮家家酒
鬓边	bânt bïn	
鬓发	bânt fâd	
鬓发皆白	bânt fâd gäi bàg	
鬓发皓然	bânt fâd hòw yin	
鬓角	bânt gôg	
摈弃	bânt hêy	
殡殓	bânt lím	
鬓霜	bânt seöng	
殡仪馆	bânt yi gũn	
爆	bâu	炸，破裂
爆煲	bâu böw	露馅儿，暴露
爆坼	bâu câg	皮肤皴裂
爆粗口	bâu cöw hãw	说粗话
爆发	bâu fâd	
爆火	bâu fõ	发脾气
爆谷	bâu gök	爆米花，玉米花儿
爆炸	bâu jâ	
爆樽	bâu jönt	砸瓶
爆棚	bâu pang	卖座
爆肽	bâu täi	破轮胎
闭关自守	bây guän	
闭关	bây guän	
闭路	bây lòw	
