開放粵語字典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［國際音標］

挨	挨	a:i˥
隘	隘	a:i˧
軛	轭	a:k˥
晏	晏	a:n˧
俺	俺	a:n˧˥
鴨	鸭	a:p˧
猰	猰	a:t˧
押	押	a:t˧
壓	压	a:t˧
遏	遏	a:t˧
軋	轧	a:t˧
揠	揠	a:t˧
拗	拗	a:u˧
坳	坳	a:u˧/a:u˥
罌	罂	a:ŋ˥
丫	丫	a:˥
啊	啊	a:˥
錒	锕	a:˥
呀	呀	a:˥
鴉	鸦	a:˥
吖	吖	a:˥
阿	阿	a:˧
氬	氩	a:˧
婭	娅	a:˧
亞	亚	a:˧
啊	啊	a:˧
啊	啊	a:˧˥
啞	哑	a:˧˥
欸	欸	ei˥
欸	欸	ei˧˥
欸	欸	ei˨
欸	欸	ei˨˩
噲	哙	fa:i˧
塊	块	fa:i˧
筷	筷	fa:i˧
快	快	fa:i˧
傀	傀	fa:i˧
旛	旛	fa:n˥
番	番	fa:n˥
幡	幡	fa:n˥
翻	翻	fa:n˥
販	贩	fa:n˧/fa:n˧˥
泛	泛	fa:n˧/fa:n˨
反	反	fa:n˧˥
犯	犯	fa:n˧˥
返	返	fa:n˧˥
范	范	fa:n˨
犯	犯	fa:n˨
範	范	fa:n˨
飯	饭	fa:n˨
瓣	瓣	fa:n˨
樊	樊	fa:n˨˩
煩	烦	fa:n˨˩
釩	钒	fa:n˨˩
藩	藩	fa:n˨˩
凡	凡	fa:n˨˩
礬	矾	fa:n˨˩
蕃	蕃	fa:n˨˩
繁	繁	fa:n˨˩
帆	帆	fa:n˨˩
梵	梵	fa:n˨˩/fa:n˨
發	发	fa:t˧
髮	发	fa:t˧
琺	珐	fa:t˧
法	法	fa:t˧
花	花	fa:˥
化	化	fa:˧
鯡	鲱	fei˥
緋	绯	fei˥
妃	妃	fei˥
飛	飞	fei˥
非	非	fei˥
蜚	蜚	fei˥
扉	扉	fei˥
菲	菲	fei˥
霏	霏	fei˥
斐	斐	fei˧˥
匪	匪	fei˧˥
誹	诽	fei˧˥
榧	榧	fei˧˥
悱	悱	fei˧˥
翡	翡	fei˧˥
肥	肥	fei˨˩
腓	腓	fei˨˩
灰	灰	fu:i˥
詼	诙	fu:i˥
魁	魁	fu:i˥
恢	恢	fu:i˥
奎	奎	fu:i˥/kʰwɐi˥
悔	悔	fu:i˧
晦	晦	fu:i˧
誨	诲	fu:i˧
鮪	鲔	fu:i˧˥
歡	欢	fu:n˥
髖	髋	fu:n˥
寬	宽	fu:n˥
貛	獾	fu:n˥
款	款	fu:n˧˥
