開放粵語字典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［廣州拼音］

丫	丫	a1
呀	呀	a1
啊	啊	a1
錒	锕	a1
吖	吖	a1
鴉	鸦	a1
啊	啊	a2
啞	哑	a2
亞	亚	a3
啊	啊	a3
氬	氩	a3
婭	娅	a3
阿	阿	a3
鴨	鸭	ab3
猰	猰	ad3
揠	揠	ad3
軋	轧	ad3
押	押	ad3
壓	压	ad3
遏	遏	ad3
軛	轭	ag1
挨	挨	ai1
隘	隘	ai3
俺	俺	an2
晏	晏	an3
罌	罂	ang1
拗	拗	ao3
坳	坳	ao3/ao1
疤	疤	ba1
叭	叭	ba1
粑	粑	ba1
芭	芭	ba1
笆	笆	ba1
巴	巴	ba1
葩	葩	ba1
爸	爸	ba1
鈀	钯	ba2
靶	靶	ba2
把	把	ba2
霸	霸	ba3
壩	坝	ba3
吧	吧	ba6
罷	罢	ba6
捌	捌	bad3
八	八	bad3
茇	茇	bad6
迫	迫	bag1/big1
佰	佰	bag3
百	百	bag3
伯	伯	bag3
白	白	bag6
蔔	卜	bag6
匐	匐	bag6
帛	帛	bag6
掰	掰	bai1/mag3
襬	摆	bai2
捭	捭	bai2
擺	摆	bai2
拜	拜	bai3
敗	败	bai6
稗	稗	bai6
斑	斑	ban1
班	班	ban1
頒	颁	ban1
瘢	瘢	ban1
闆	板	ban2
坂	坂	ban2
版	版	ban2
板	板	ban2
舨	舨	ban2
扮	扮	ban3
扮	扮	ban6
辦	办	ban6
繃	绷	bang6
蹦	蹦	bang6
鮑	鲍	bao1
包	包	bao1
褒	褒	bao1
苞	苞	bao1
孢	孢	bao1
胞	胞	bao1
飽	饱	bao2
爆	爆	bao3
齙	龅	bao6
鮑	鲍	bao6
不	不	bed1
蓽	荜	bed1
筆	笔	bed1
畢	毕	bed1
蹕	跸	bed1
篳	筚	bed1
嗶	哔	bed1
鈈	钚	bed1
菝	菝	bed6
