開放粵語字典（黃錫凌調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［黃錫凌拼音］

丫	丫	'a
呀	呀	'a
啊	啊	'a
錒	锕	'a
吖	吖	'a
鴉	鸦	'a
挨	挨	'ai
軛	轭	'ak
罌	罂	'aŋ
巴	巴	'ba
爸	爸	'ba
葩	葩	'ba
叭	叭	'ba
粑	粑	'ba
芭	芭	'ba
笆	笆	'ba
疤	疤	'ba
掰	掰	'bai/¯mak
迫	迫	'bak/'bik
班	班	'ban
瘢	瘢	'ban
頒	颁	'ban
斑	斑	'ban
包	包	'bau
褒	褒	'bau
苞	苞	'bau
胞	胞	'bau
鮑	鲍	'bau
孢	孢	'bau
裨	裨	'bei
卑	卑	'bei
悲	悲	'bei
屄	屄	'bei
碑	碑	'bei
逼	逼	'bik
愎	愎	'bik
璧	璧	'bik
壁	壁	'bik
碧	碧	'bik
辮	辫	'bin
鞭	鞭	'bin
邊	边	'bin
觱	觱	'bit
必	必	'bit
鑣	镳	'biu
標	标	'biu
錶	表	'biu
鏢	镖	'biu
彪	彪	'biu
膘	膘	'biu
飆	飙	'biu
晡	晡	'bou
杯	杯	'bui
搬	搬	'bun
般	般	'bun
跛	跛	'bɐi/´bɔ
北	北	'bɐk
泵	泵	'bɐm
乓	乓	'bɐm/'pɔŋ
濱	滨	'bɐn
彬	彬	'bɐn
斌	斌	'bɐn
檳	槟	'bɐn
繽	缤	'bɐn
賓	宾	'bɐn
奔	奔	'bɐn
瀕	濒	'bɐn/ˌpɐn
畢	毕	'bɐt
筆	笔	'bɐt
嗶	哔	'bɐt
篳	筚	'bɐt
不	不	'bɐt
鈈	钚	'bɐt
蹕	跸	'bɐt
蓽	荜	'bɐt
鏰	镚	'bɐŋ
崩	崩	'bɐŋ
菠	菠	'bɔ
玻	玻	'bɔ
波	波	'bɔ
幫	帮	'bɔŋ
邦	邦	'bɔŋ
梆	梆	'bɔŋ
啤	啤	'bɛ
冰	冰	'bɪŋ
兵	兵	'bɪŋ
乒	乒	'bɪŋ/'pɪŋ
卜	卜	'bʊk
呆	呆	'dai
儋	儋	'dam
擔	担	'dam
聃	聃	'dam
眈	眈	'dam
耽	耽	'dam
丹	丹	'dan
殫	殚	'dan
單	单	'dan
鄲	郸	'dan
的	的	'dik
滴	滴	'dik
嫡	嫡	'dik
掂	掂	'dim
顛	颠	'din
巔	巅	'din
碘	碘	'din
癲	癫	'din
丟	丢	'diu
刁	刁	'diu
碉	碉	'diu
凋	凋	'diu
雕	雕	'diu
鯛	鲷	'diu
叼	叼	'diu
貂	貂	'diu
都	都	'dou
嘟	嘟	'dou
叨	叨	'dou
刀	刀	'dou
端	端	'dyn
渣	渣	'dza
糌	糌	'dza
咱	咱	'dza
齇	齇	'dza
楂	楂	'dza
吒	吒	'dza
抓	抓	'dza/´dzau
齎	赍	'dzai
齋	斋	'dzai
嘲	嘲	'dzau
咨	咨	'dzi
茲	兹	'dzi
孜	孜	'dzi
滋	滋	'dzi
吱	吱	'dzi
氏	氏	'dzi
知	知	'dzi
支	支	'dzi
脂	脂	'dzi
蜘	蜘	'dzi
淄	淄	'dzi
輜	辎	'dzi
枝	枝	'dzi
肢	肢	'dzi
芝	芝	'dzi
齜	龇	'dzi
諮	谘	'dzi
鼒	鼒	'dzi
資	资	'dzi
貲	赀	'dzi
之	之	'dzi
姿	姿	'dzi
織	织	'dzik
跡	迹	'dzik
績	绩	'dzik
陟	陟	'dzik
積	积	'dzik
稷	稷	'dzik
鯽	鲫	'dzik
即	即	'dzik
職	职	'dzik
漬	渍	'dzik/¯dzi
占	占	'dzim
瞻	瞻	'dzim
沾	沾	'dzim
詹	詹	'dzim
尖	尖	'dzim
譫	谵	'dzim
霑	霑	'dzim
箋	笺	'dzin
氈	毡	'dzin
羶	膻	'dzin
煎	煎	'dzin
唧	唧	'dzit
朝	朝	'dziu
招	招	'dziu
礁	礁	'dziu
焦	焦	'dziu
椒	椒	'dziu
蕉	蕉	'dziu
糟	糟	'dzou
遭	遭	'dzou
租	租	'dzou
誅	诛	'dzy
銖	铢	'dzy
朱	朱	'dzy
諸	诸	'dzy
侏	侏	'dzy
茱	茱	'dzy
株	株	'dzy
豬	猪	'dzy
蛛	蛛	'dzy
珠	珠	'dzy
顓	颛	'dzyn
專	专	'dzyn
尊	尊	'dzyn
磚	砖	'dzyn
鱒	鳟	'dzyn/¯dzyn
鐫	镌	'dzyn/¯dzœn
榛	榛	'dzœn
臻	臻	'dzœn
津	津	'dzœn
樽	樽	'dzœn
諄	谆	'dzœn
遵	遵	'dzœn/'dzyn
卒	卒	'dzœt
怵	怵	'dzœt
黜	黜	'dzœt
追	追	'dzœy
椎	椎	'dzœy
錐	锥	'dzœy
狙	狙	'dzœy
蛆	蛆	'dzœy/'tsœy
章	章	'dzœŋ
漿	浆	'dzœŋ
漳	漳	'dzœŋ
嫜	嫜	'dzœŋ
獐	獐	'dzœŋ
張	张	'dzœŋ
彰	彰	'dzœŋ
樟	樟	'dzœŋ
璋	璋	'dzœŋ
蟑	蟑	'dzœŋ
將	将	'dzœŋ
鄣	鄣	'dzœŋ
齏	齑	'dzɐi
躋	跻	'dzɐi
擠	挤	'dzɐi
劑	剂	'dzɐi
仄	仄	'dzɐk
則	则	'dzɐk
昃	昃	'dzɐk
側	侧	'dzɐk
針	针	'dzɐm
箴	箴	'dzɐm
砧	砧	'dzɐm
斟	斟	'dzɐm
簪	簪	'dzɐm
胗	胗	'dzɐn
珍	珍	'dzɐn
真	真	'dzɐn
汁	汁	'dzɐp
執	执	'dzɐp
質	质	'dzɐt
洲	洲	'dzɐu
謅	诌	'dzɐu
周	周	'dzɐu
州	州	'dzɐu
舟	舟	'dzɐu
