開放粵語字典（教院拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［教院拼音］

丫	丫	aa1
呀	呀	aa1
啊	啊	aa1
錒	锕	aa1
吖	吖	aa1
鴉	鸦	aa1
啊	啊	aa2
啞	哑	aa2
亞	亚	aa3
啊	啊	aa3
氬	氩	aa3
婭	娅	aa3
阿	阿	aa3
挨	挨	aai1
隘	隘	aai3
軛	轭	aak7
俺	俺	aan2
晏	晏	aan3
罌	罂	aang1
鴨	鸭	aap8
壓	压	aat8
押	押	aat8
遏	遏	aat8
揠	揠	aat8
猰	猰	aat8
軋	轧	aat8
拗	拗	aau3
坳	坳	aau3/aau1
哎	哎	ai1
唉	唉	ai1
矮	矮	ai2
縊	缢	ai3
唉	唉	ai3
屭	屃	ai3
厄	厄	ak7/aak7
扼	扼	ak7/aak7
幄	幄	ak7/aak7
握	握	ak7/aak7
齷	龌	ak7/aak7
渥	渥	ak7/aak7
鵪	鹌	am1
庵	庵	am1
諳	谙	am1
黯	黯	am2
揞	揞	am2
暗	暗	am3
鶯	莺	ang1
罌	罂	ang1
歐	欧	au1
鷗	鸥	au1
甌	瓯	au1
嘔	呕	au2
毆	殴	au2/au1
慪	怄	au3
凹	凹	au3/nap7
粑	粑	baa1
疤	疤	baa1
叭	叭	baa1
巴	巴	baa1
笆	笆	baa1
爸	爸	baa1
葩	葩	baa1
芭	芭	baa1
鈀	钯	baa2
靶	靶	baa2
把	把	baa2
壩	坝	baa3
霸	霸	baa3
吧	吧	baa6
罷	罢	baa6
掰	掰	baai1/maak8
擺	摆	baai2
襬	摆	baai2
捭	捭	baai2
拜	拜	baai3
敗	败	baai6
稗	稗	baai6
迫	迫	baak7/bik7
伯	伯	baak8
佰	佰	baak8
百	百	baak8
匐	匐	baak9
帛	帛	baak9
白	白	baak9
蔔	卜	baak9
頒	颁	baan1
班	班	baan1
瘢	瘢	baan1
斑	斑	baan1
坂	坂	baan2
舨	舨	baan2
板	板	baan2
闆	板	baan2
版	版	baan2
扮	扮	baan3
扮	扮	baan6
辦	办	baan6
繃	绷	baang6
蹦	蹦	baang6
八	八	baat8
捌	捌	baat8
茇	茇	baat9
褒	褒	baau1
包	包	baau1
