開放粵語字典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［劉錫祥拼音］

丫	丫	a1
呀	呀	a1
啊	啊	a1
錒	锕	a1
吖	吖	a1
鴉	鸦	a1
啊	啊	a2
啞	哑	a2
亞	亚	a3
阿	阿	a3
氬	氩	a3
婭	娅	a3
啊	啊	a3
挨	挨	aai1
隘	隘	aai3
軛	轭	aak1
俺	俺	aan2
晏	晏	aan3
罌	罂	aang1
鴨	鸭	aap3
壓	压	aat3
押	押	aat3
遏	遏	aat3
揠	揠	aat3
軋	轧	aat3
猰	猰	aat3
拗	拗	aau3
坳	坳	aau3/aau1
哎	哎	ai1
唉	唉	ai1
矮	矮	ai2
唉	唉	ai3
屭	屃	ai3
縊	缢	ai3
厄	厄	ak1/aak1
扼	扼	ak1/aak1
幄	幄	ak1/aak1
握	握	ak1/aak1
齷	龌	ak1/aak1
渥	渥	ak1/aak1
鵪	鹌	am1
庵	庵	am1
諳	谙	am1
黯	黯	am2
揞	揞	am2
暗	暗	am3
鶯	莺	ang1
罌	罂	ang1
甌	瓯	au1
鷗	鸥	au1
歐	欧	au1
嘔	呕	au2
毆	殴	au2/au1
慪	怄	au3
凹	凹	au3/nap1
疤	疤	ba1
叭	叭	ba1
粑	粑	ba1
芭	芭	ba1
笆	笆	ba1
爸	爸	ba1
葩	葩	ba1
巴	巴	ba1
鈀	钯	ba2
靶	靶	ba2
把	把	ba2
壩	坝	ba3
霸	霸	ba3
罷	罢	ba6
吧	吧	ba6
掰	掰	baai1/maak3
擺	摆	baai2
襬	摆	baai2
捭	捭	baai2
拜	拜	baai3
敗	败	baai6
稗	稗	baai6
迫	迫	baak1/bik1
伯	伯	baak3
百	百	baak3
佰	佰	baak3
白	白	baak6
帛	帛	baak6
蔔	卜	baak6
匐	匐	baak6
頒	颁	baan1
班	班	baan1
瘢	瘢	baan1
斑	斑	baan1
版	版	baan2
舨	舨	baan2
板	板	baan2
