開放粵語字典（耶魯拼音調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［耶魯拼音］

丫	丫	ā
呀	呀	ā
啊	啊	ā
鴉	鸦	ā
吖	吖	ā
錒	锕	ā
啞	哑	á
啊	啊	á
亞	亚	a
阿	阿	a
氬	氩	a
婭	娅	a
啊	啊	a
挨	挨	āai
隘	隘	aai
軛	轭	āak
俺	俺	áan
晏	晏	aan
罌	罂	āang
鴨	鸭	aap
壓	压	aat
押	押	aat
遏	遏	aat
揠	揠	aat
軋	轧	aat
猰	猰	aat
拗	拗	aau
坳	坳	aau/āau
哎	哎	āi
唉	唉	āi
矮	矮	ái
唉	唉	ai
縊	缢	ai
屭	屃	ai
厄	厄	āk/āak
扼	扼	āk/āak
幄	幄	āk/āak
握	握	āk/āak
渥	渥	āk/āak
齷	龌	āk/āak
鵪	鹌	ām
庵	庵	ām
諳	谙	ām
黯	黯	ám
揞	揞	ám
暗	暗	am
鶯	莺	āng
罌	罂	āng
歐	欧	āu
鷗	鸥	āu
甌	瓯	āu
嘔	呕	áu
毆	殴	áu/āu
慪	怄	au
凹	凹	au/nāp
叭	叭	bā
疤	疤	bā
粑	粑	bā
芭	芭	bā
笆	笆	bā
爸	爸	bā
葩	葩	bā
巴	巴	bā
鈀	钯	bá
靶	靶	bá
把	把	bá
霸	霸	ba
壩	坝	ba
吧	吧	bah
罷	罢	bah
掰	掰	bāai/maak
擺	摆	báai
襬	摆	báai
捭	捭	báai
拜	拜	baai
敗	败	baaih
稗	稗	baaih
迫	迫	bāak/bīk
伯	伯	baak
佰	佰	baak
百	百	baak
匐	匐	baahk
帛	帛	baahk
蔔	卜	baahk
白	白	baahk
斑	斑	bāan
班	班	bāan
瘢	瘢	bāan
頒	颁	bāan
版	版	báan
舨	舨	báan
板	板	báan
闆	板	báan
坂	坂	báan
扮	扮	baan
扮	扮	baahn
辦	办	baahn
蹦	蹦	baahng
繃	绷	baahng
捌	捌	baat
八	八	baat
茇	茇	baaht
褒	褒	bāau
包	包	bāau
鮑	鲍	bāau
苞	苞	bāau
胞	胞	bāau
孢	孢	bāau
飽	饱	báau
爆	爆	baau
鮑	鲍	baauh
齙	龅	baauh
跛	跛	bāi/bó
蔽	蔽	bai
閉	闭	bai
贔	赑	bai
敝	敝	baih
弊	弊	baih
陛	陛	baih
斃	毙	baih
狴	狴	baih
幣	币	baih
北	北	bāk
泵	泵	bām
乓	乓	bām/pōng
奔	奔	bān
檳	槟	bān
賓	宾	bān
繽	缤	bān
濱	滨	bān
斌	斌	bān
彬	彬	bān
瀕	濒	bān/pàhn
品	品	bán
稟	禀	bán
擯	摈	ban
殯	殡	ban
鬢	鬓	ban
笨	笨	bahn
崩	崩	bāng
鏰	镚	bāng
不	不	bāt
筆	笔	bāt
畢	毕	bāt
鈈	钚	bāt
嗶	哔	bāt
篳	筚	bāt
蹕	跸	bāt
蓽	荜	bāt
拔	拔	baht
鈸	钹	baht
弼	弼	baht
跋	跋	baht
苾	苾	baht
菝	菝	baht
啤	啤	bē
唄	呗	beh
碑	碑	bēi
卑	卑	bēi
裨	裨	bēi
悲	悲	bēi
屄	屄	bēi
比	比	béi
彼	彼	béi
妣	妣	béi
匕	匕	béi/bei
臂	臂	bei
痺	痹	bei
秘	秘	bei
泌	泌	bei
庇	庇	bei
轡	辔	bei
鉍	铋	bei
備	备	beih
被	被	beih
鼻	鼻	beih
箆	箆	beih
避	避	beih
憊	惫	beih/baaih
餅	饼	béng
柄	柄	beng/bing
病	病	behng/bihng
壁	壁	bīk
碧	碧	bīk
逼	逼	bīk
愎	愎	bīk
璧	璧	bīk
邊	边	bīn
辮	辫	bīn
鞭	鞭	bīn
扁	扁	bín
匾	匾	bín
貶	贬	bín
變	变	bin
便	便	bihn
卞	卞	bihn
辯	辩	bihn
辨	辨	bihn
兵	兵	bīng
冰	冰	bīng
乒	乒	bīng/pīng
丙	丙	bíng
秉	秉	bíng
炳	炳	bíng
屏	屏	bíng
餅	饼	bíng
迸	迸	bing
併	并	bing/ping
並	并	bihng
觱	觱	bīt
必	必	bīt
彆	别	bit
憋	憋	bit
鱉	鳖	bit
蹩	蹩	biht
別	别	biht
癟	瘪	biht
鑣	镳	biū
彪	彪	biū
標	标	biū
錶	表	biū
鏢	镖	biū
飆	飙	biū
膘	膘	biū
婊	婊	biú
表	表	biú
波	波	bō
玻	玻	bō
菠	菠	bō
簸	簸	bo
播	播	bo
膊	膊	bok
博	博	bok
搏	搏	bok
駁	驳	bok
亳	亳	bok
縛	缚	bok/fok
鉑	铂	bohk
泊	泊	bohk
箔	箔	bohk
礴	礴	bohk
雹	雹	bohk
薄	薄	bohk
舶	舶	bohk/paak
梆	梆	bōng
幫	帮	bōng
邦	邦	bōng
綁	绑	bóng
膀	膀	bóng
榜	榜	bóng
蒡	蒡	bóng
傍	傍	bohng
鎊	镑	bohng
磅	磅	bohng
晡	晡	bōu
保	保	bóu
鴇	鸨	bóu
堡	堡	bóu
圃	圃	bóu
寶	宝	bóu
葆	葆	bóu
補	补	bóu
佈	布	bou
埔	埔	bou
怖	怖	bou
報	报	bou
布	布	bou
步	步	bouh
捕	捕	bouh
暴	暴	bouh
哺	哺	bouh
簿	簿	bouh
部	部	bouh
埠	埠	bouh/fauh
杯	杯	buī
揹	背	bui
狽	狈	bui
貝	贝	bui
鋇	钡	bui
輩	辈	bui
悖	悖	buih
背	背	buih
焙	焙	buih
卜	卜	būk
曝	曝	buhk
僕	仆	buhk
瀑	瀑	buhk
濮	濮	buhk
蹼	蹼	buhk
般	般	būn
搬	搬	būn
本	本	bún
畚	畚	bún
苯	苯	bún
半	半	bun
拌	拌	buhn
