開放粵語字典（粵語拼音字調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵語拼音］

罷	罢	bà
吧	吧	bà
茇	茇	bàd
帛	帛	bàg
白	白	bàg
匐	匐	bàg
蔔	卜	bàg
稗	稗	bài
敗	败	bài
辦	办	bàn
扮	扮	bàn
蹦	蹦	bàng
繃	绷	bàng
笨	笨	bànt
鈸	钹	bàt
弼	弼	bàt
拔	拔	bàt
菝	菝	bàt
苾	苾	bàt
跋	跋	bàt
齙	龅	bàu
鮑	鲍	bàu
陛	陛	bày
幣	币	bày
弊	弊	bày
敝	敝	bày
斃	毙	bày
狴	狴	bày
壩	坝	bâ
霸	霸	bâ
捌	捌	bâd
八	八	bâd
佰	佰	bâg
百	百	bâg
伯	伯	bâg
拜	拜	bâi
扮	扮	bân
擯	摈	bânt
殯	殡	bânt
鬢	鬓	bânt
爆	爆	bâu
贔	赑	bây
蔽	蔽	bây
閉	闭	bây
鈀	钯	bã
把	把	bã
靶	靶	bã
襬	摆	bãi
擺	摆	bãi
捭	捭	bãi
舨	舨	bãn
版	版	bãn
坂	坂	bãn
闆	板	bãn
板	板	bãn
品	品	bãnt
稟	禀	bãnt
飽	饱	bãu
芭	芭	bä
笆	笆	bä
爸	爸	bä
葩	葩	bä
粑	粑	bä
疤	疤	bä
叭	叭	bä
巴	巴	bä
迫	迫	bäg/bëk
掰	掰	bäi/mâg
北	北	bäk
泵	泵	bämp
乓	乓	bämp/pöng
班	班	bän
斑	斑	bän
瘢	瘢	bän
頒	颁	bän
鏰	镚	bänk
崩	崩	bänk
斌	斌	bänt
彬	彬	bänt
繽	缤	bänt
賓	宾	bänt
奔	奔	bänt
濱	滨	bänt
檳	槟	bänt
瀕	濒	bänt/pant
篳	筚	bät
蓽	荜	bät
蹕	跸	bät
畢	毕	bät
筆	笔	bät
不	不	bät
嗶	哔	bät
鈈	钚	bät
胞	胞	bäu
孢	孢	bäu
鮑	鲍	bäu
包	包	bäu
苞	苞	bäu
褒	褒	bäu
跛	跛	bäy/bõ
唄	呗	bè
病	病	bèng/bènk
並	并	bènk
箆	箆	bèy
鼻	鼻	bèy
備	备	bèy
被	被	bèy
避	避	bèy
憊	惫	bèy/bài
柄	柄	bêng/bênk
迸	迸	bênk
併	并	bênk/pênk
秘	秘	bêy
庇	庇	bêy
轡	辔	bêy
鉍	铋	bêy
痺	痹	bêy
臂	臂	bêy
泌	泌	bêy
啤	啤	bë
逼	逼	bëk
碧	碧	bëk
壁	壁	bëk
璧	璧	bëk
愎	愎	bëk
冰	冰	bënk
兵	兵	bënk
乒	乒	bënk/pënk
碑	碑	bëy
悲	悲	bëy
裨	裨	bëy
卑	卑	bëy
屄	屄	bëy
蹩	蹩	bìd
別	别	bìd
癟	瘪	bìd
辯	辩	bìn
辨	辨	bìn
便	便	bìn
卞	卞	bìn
鱉	鳖	bîd
彆	别	bîd
憋	憋	bîd
變	变	bîn
觱	觱	bïd
必	必	bïd
辮	辫	bïn
邊	边	bïn
鞭	鞭	bïn
錶	表	bïu
標	标	bïu
鑣	镳	bïu
鏢	镖	bïu
飆	飙	bïu
膘	膘	bïu
彪	彪	bïu
箔	箔	bòg
礴	礴	bòg
鉑	铂	bòg
薄	薄	bòg
泊	泊	bòg
雹	雹	bòg
舶	舶	bòg/pâg
蹼	蹼	bòk
僕	仆	bòk
曝	曝	bòk
瀑	瀑	bòk
濮	濮	bòk
磅	磅	bòng
傍	傍	bòng
鎊	镑	bòng
步	步	bòw
捕	捕	bòw
部	部	bòw
暴	暴	bòw
哺	哺	bòw
簿	簿	bòw
埠	埠	bòw/fàw
簸	簸	bô
播	播	bô
博	博	bôg
亳	亳	bôg
膊	膊	bôg
駁	驳	bôg
搏	搏	bôg
縛	缚	bôg/fôg
甭	甭	bônk
怖	怖	bôw
報	报	bôw
埔	埔	bôw
布	布	bôw
佈	布	bôw
蒡	蒡	bõng
綁	绑	bõng
榜	榜	bõng
膀	膀	bõng
堡	堡	bõw
鴇	鸨	bõw
保	保	bõw
圃	圃	bõw
寶	宝	bõw
補	补	bõw
葆	葆	bõw
玻	玻	bö
菠	菠	bö
波	波	bö
卜	卜	bök
邦	邦	böng
梆	梆	böng
幫	帮	böng
晡	晡	böw
勃	勃	bùd
撥	拨	bùd
脖	脖	bùd
荸	荸	bùd
渤	渤	bùd
焙	焙	bùi
悖	悖	bùi
背	背	bùi
絆	绊	bùn
畔	畔	bùn
叛	叛	bùn
胖	胖	bùn
拌	拌	bùn
伴	伴	bùn/pũn
缽	钵	bûd
鋇	钡	bûi
輩	辈	bûi
揹	背	bûi
狽	狈	bûi
貝	贝	bûi
半	半	bûn
杯	杯	büi
般	般	bün
搬	搬	bün
匾	匾	bĩn
貶	贬	bĩn
扁	扁	bĩn
婊	婊	bĩu
表	表	bĩu
畚	畚	bũn
苯	苯	bũn
本	本	bũn
餅	饼	bẽng
秉	秉	bẽnk
炳	炳	bẽnk
餅	饼	bẽnk
丙	丙	bẽnk
屏	屏	bẽnk
妣	妣	bẽy
比	比	bẽy
彼	彼	bẽy
匕	匕	bẽy/bêy
搽	搽	ca
槎	槎	ca
垞	垞	ca
茬	茬	ca
查	查	ca
碴	碴	ca
茶	茶	ca
豺	豺	cai
柴	柴	cai
儕	侪	cai
蠶	蚕	cam
饞	馋	cam
慚	惭	cam
讒	谗	cam
沉	沉	camp
蕁	荨	camp
鱘	鲟	camp
尋	寻	camp
殘	残	can
橙	橙	cang/cãng
曾	曾	cank
層	层	cank
塵	尘	cant
陳	陈	cant
巢	巢	cau
遒	遒	caw
囚	囚	caw
籌	筹	caw
泅	泅	caw
仇	仇	caw
稠	稠	caw
躊	踌	caw
疇	畴	caw
惆	惆	caw
酬	酬	caw
儔	俦	caw
綢	绸	caw
齊	齐	cay
薺	荠	cay
輋	輋	ce
斜	斜	ce
邪	邪	ce
情	情	cenk
澂	澂	cenk
埕	埕	cenk
澄	澄	cenk
懲	惩	cenk
呈	呈	cenk
程	程	cenk
晴	晴	cenk
腸	肠	ceong
場	场	ceong
長	长	ceong
戕	戕	ceong
祥	祥	ceong
牆	墙	ceong
薔	蔷	ceong
詳	详	ceong
翔	翔	ceong
檣	樯	ceong
蹰	蹰	ceu
廚	厨	ceu/coy
荃	荃	ceun
全	全	ceun
輇	辁	ceun
痊	痊	ceun
醛	醛	ceun
筌	筌	ceun
泉	泉	ceun
詮	诠	ceun
存	存	ceun
傳	传	ceun
銓	铨	ceun
戳	戳	ceôg
綽	绰	ceôg
卓	卓	ceôg
嗆	呛	ceông
戧	戗	ceông
悵	怅	ceông
蹌	跄	ceông
熗	炝	ceông
唱	唱	ceông
倡	倡	ceông
暢	畅	ceông
搶	抢	ceõng
嗆	呛	ceöng
戧	戗	ceöng
窗	窗	ceöng
鏘	锵	ceöng
菖	菖	ceöng
倀	伥	ceöng
娼	娼	ceöng
鯧	鲳	ceöng
猖	猖	ceöng
昌	昌	ceöng
槍	枪	ceöng
佇	伫	ceú
署	署	ceú
柱	柱	ceú
儲	储	ceú
苧	苎	ceú
處	处	ceú
褚	褚	ceú
曙	曙	ceú
處	处	ceû
踅	踅	ceûd
猝	猝	ceûd
撮	撮	ceûd
