開放粵語字典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵語拼音］

丫	丫	a1
呀	呀	a1
啊	啊	a1
錒	锕	a1
吖	吖	a1
鴉	鸦	a1
啊	啊	a2
啞	哑	a2
亞	亚	a3
阿	阿	a3
氬	氩	a3
婭	娅	a3
啊	啊	a3
鴨	鸭	ab3
押	押	ad3
遏	遏	ad3
猰	猰	ad3
軋	轧	ad3
壓	压	ad3
揠	揠	ad3
軛	轭	ag1
挨	挨	ai1
隘	隘	ai3
扼	扼	ak1/ag1
幄	幄	ak1/ag1
握	握	ak1/ag1
厄	厄	ak1/ag1
齷	龌	ak1/ag1
渥	渥	ak1/ag1
鵪	鹌	amp1
庵	庵	amp1
諳	谙	amp1
黯	黯	amp2
揞	揞	amp2
暗	暗	amp3
俺	俺	an2
晏	晏	an3
罌	罂	ang1
罌	罂	ank1
鶯	莺	ank1
拗	拗	au3
坳	坳	au3/au1
甌	瓯	aw1
歐	欧	aw1
鷗	鸥	aw1
嘔	呕	aw2
毆	殴	aw2/aw1
慪	怄	aw3
凹	凹	aw3/nap1
唉	唉	ay1
哎	哎	ay1
矮	矮	ay2
屭	屃	ay3
唉	唉	ay3
縊	缢	ay3
粑	粑	ba1
疤	疤	ba1
叭	叭	ba1
巴	巴	ba1
笆	笆	ba1
爸	爸	ba1
葩	葩	ba1
芭	芭	ba1
鈀	钯	ba2
靶	靶	ba2
把	把	ba2
霸	霸	ba3
壩	坝	ba3
吧	吧	ba6
罷	罢	ba6
八	八	bad3
捌	捌	bad3
茇	茇	bad6
迫	迫	bag1/bek1
百	百	bag3
伯	伯	bag3
佰	佰	bag3
白	白	bag6
匐	匐	bag6
蔔	卜	bag6
帛	帛	bag6
掰	掰	bai1/mag3
襬	摆	bai2
擺	摆	bai2
捭	捭	bai2
拜	拜	bai3
稗	稗	bai6
敗	败	bai6
北	北	bak1
泵	泵	bamp1
