开放粤语字典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［国际音标］

挨	挨	a:i˥
隘	隘	a:i˧
轭	軛	a:k˥
晏	晏	a:n˧
俺	俺	a:n˧˥
鸭	鴨	a:p˧
猰	猰	a:t˧
押	押	a:t˧
压	壓	a:t˧
遏	遏	a:t˧
轧	軋	a:t˧
揠	揠	a:t˧
拗	拗	a:u˧
坳	坳	a:u˧/a:u˥
罂	罌	a:ŋ˥
丫	丫	a:˥
啊	啊	a:˥
锕	錒	a:˥
呀	呀	a:˥
鸦	鴉	a:˥
吖	吖	a:˥
阿	阿	a:˧
氩	氬	a:˧
娅	婭	a:˧
亚	亞	a:˧
啊	啊	a:˧
啊	啊	a:˧˥
哑	啞	a:˧˥
欸	欸	ei˥
欸	欸	ei˧˥
欸	欸	ei˨
欸	欸	ei˨˩
哙	噲	fa:i˧
块	塊	fa:i˧
筷	筷	fa:i˧
快	快	fa:i˧
傀	傀	fa:i˧
旛	旛	fa:n˥
番	番	fa:n˥
幡	幡	fa:n˥
翻	翻	fa:n˥
贩	販	fa:n˧/fa:n˧˥
泛	泛	fa:n˧/fa:n˨
反	反	fa:n˧˥
犯	犯	fa:n˧˥
返	返	fa:n˧˥
范	范	fa:n˨
犯	犯	fa:n˨
范	範	fa:n˨
饭	飯	fa:n˨
瓣	瓣	fa:n˨
樊	樊	fa:n˨˩
烦	煩	fa:n˨˩
钒	釩	fa:n˨˩
藩	藩	fa:n˨˩
凡	凡	fa:n˨˩
矾	礬	fa:n˨˩
蕃	蕃	fa:n˨˩
繁	繁	fa:n˨˩
帆	帆	fa:n˨˩
梵	梵	fa:n˨˩/fa:n˨
发	發	fa:t˧
发	髮	fa:t˧
珐	琺	fa:t˧
法	法	fa:t˧
花	花	fa:˥
化	化	fa:˧
鲱	鯡	fei˥
绯	緋	fei˥
妃	妃	fei˥
飞	飛	fei˥
非	非	fei˥
蜚	蜚	fei˥
扉	扉	fei˥
菲	菲	fei˥
霏	霏	fei˥
斐	斐	fei˧˥
匪	匪	fei˧˥
诽	誹	fei˧˥
榧	榧	fei˧˥
悱	悱	fei˧˥
翡	翡	fei˧˥
肥	肥	fei˨˩
腓	腓	fei˨˩
灰	灰	fu:i˥
诙	詼	fu:i˥
魁	魁	fu:i˥
恢	恢	fu:i˥
奎	奎	fu:i˥/kʰwɐi˥
悔	悔	fu:i˧
晦	晦	fu:i˧
诲	誨	fu:i˧
鲔	鮪	fu:i˧˥
欢	歡	fu:n˥
髋	髖	fu:n˥
宽	寬	fu:n˥
獾	貛	fu:n˥
款	款	fu:n˧˥
阔	闊	fu:t˧
