开放粤语字典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［广州拼音］

丫	丫	a1
呀	呀	a1
啊	啊	a1
锕	錒	a1
吖	吖	a1
鸦	鴉	a1
啊	啊	a2
哑	啞	a2
亚	亞	a3
啊	啊	a3
氩	氬	a3
娅	婭	a3
阿	阿	a3
鸭	鴨	ab3
猰	猰	ad3
揠	揠	ad3
轧	軋	ad3
押	押	ad3
压	壓	ad3
遏	遏	ad3
轭	軛	ag1
挨	挨	ai1
隘	隘	ai3
俺	俺	an2
晏	晏	an3
罂	罌	ang1
拗	拗	ao3
坳	坳	ao3/ao1
疤	疤	ba1
叭	叭	ba1
粑	粑	ba1
芭	芭	ba1
笆	笆	ba1
巴	巴	ba1
葩	葩	ba1
爸	爸	ba1
钯	鈀	ba2
靶	靶	ba2
把	把	ba2
霸	霸	ba3
坝	壩	ba3
吧	吧	ba6
罢	罷	ba6
捌	捌	bad3
八	八	bad3
茇	茇	bad6
迫	迫	bag1/big1
佰	佰	bag3
百	百	bag3
伯	伯	bag3
白	白	bag6
卜	蔔	bag6
匐	匐	bag6
帛	帛	bag6
掰	掰	bai1/mag3
摆	襬	bai2
捭	捭	bai2
摆	擺	bai2
拜	拜	bai3
败	敗	bai6
稗	稗	bai6
斑	斑	ban1
班	班	ban1
颁	頒	ban1
瘢	瘢	ban1
板	闆	ban2
坂	坂	ban2
版	版	ban2
板	板	ban2
舨	舨	ban2
扮	扮	ban3
扮	扮	ban6
办	辦	ban6
绷	繃	bang6
蹦	蹦	bang6
鲍	鮑	bao1
包	包	bao1
褒	褒	bao1
苞	苞	bao1
孢	孢	bao1
胞	胞	bao1
饱	飽	bao2
爆	爆	bao3
龅	齙	bao6
鲍	鮑	bao6
不	不	bed1
荜	蓽	bed1
笔	筆	bed1
毕	畢	bed1
跸	蹕	bed1
筚	篳	bed1
哔	嗶	bed1
钚	鈈	bed1
菝	菝	bed6
苾	苾	bed6
