开放粤语字典（黄锡凌调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［黄锡凌拼音］

丫	丫	'a
呀	呀	'a
啊	啊	'a
锕	錒	'a
吖	吖	'a
鸦	鴉	'a
挨	挨	'ai
轭	軛	'ak
罂	罌	'aŋ
巴	巴	'ba
爸	爸	'ba
葩	葩	'ba
叭	叭	'ba
粑	粑	'ba
芭	芭	'ba
笆	笆	'ba
疤	疤	'ba
掰	掰	'bai/¯mak
迫	迫	'bak/'bik
班	班	'ban
瘢	瘢	'ban
颁	頒	'ban
斑	斑	'ban
包	包	'bau
褒	褒	'bau
苞	苞	'bau
胞	胞	'bau
鲍	鮑	'bau
孢	孢	'bau
裨	裨	'bei
卑	卑	'bei
悲	悲	'bei
屄	屄	'bei
碑	碑	'bei
逼	逼	'bik
愎	愎	'bik
璧	璧	'bik
壁	壁	'bik
碧	碧	'bik
辫	辮	'bin
鞭	鞭	'bin
边	邊	'bin
觱	觱	'bit
必	必	'bit
镳	鑣	'biu
标	標	'biu
表	錶	'biu
镖	鏢	'biu
彪	彪	'biu
膘	膘	'biu
飙	飆	'biu
晡	晡	'bou
杯	杯	'bui
搬	搬	'bun
般	般	'bun
跛	跛	'bɐi/´bɔ
北	北	'bɐk
泵	泵	'bɐm
乓	乓	'bɐm/'pɔŋ
滨	濱	'bɐn
彬	彬	'bɐn
斌	斌	'bɐn
槟	檳	'bɐn
缤	繽	'bɐn
宾	賓	'bɐn
奔	奔	'bɐn
濒	瀕	'bɐn/ˌpɐn
毕	畢	'bɐt
笔	筆	'bɐt
哔	嗶	'bɐt
筚	篳	'bɐt
不	不	'bɐt
钚	鈈	'bɐt
跸	蹕	'bɐt
荜	蓽	'bɐt
镚	鏰	'bɐŋ
崩	崩	'bɐŋ
菠	菠	'bɔ
玻	玻	'bɔ
波	波	'bɔ
帮	幫	'bɔŋ
邦	邦	'bɔŋ
梆	梆	'bɔŋ
啤	啤	'bɛ
冰	冰	'bɪŋ
兵	兵	'bɪŋ
乒	乒	'bɪŋ/'pɪŋ
卜	卜	'bʊk
呆	呆	'dai
儋	儋	'dam
担	擔	'dam
聃	聃	'dam
眈	眈	'dam
耽	耽	'dam
丹	丹	'dan
殚	殫	'dan
单	單	'dan
郸	鄲	'dan
的	的	'dik
滴	滴	'dik
嫡	嫡	'dik
掂	掂	'dim
颠	顛	'din
巅	巔	'din
碘	碘	'din
癫	癲	'din
丢	丟	'diu
刁	刁	'diu
碉	碉	'diu
凋	凋	'diu
雕	雕	'diu
鲷	鯛	'diu
叼	叼	'diu
貂	貂	'diu
都	都	'dou
嘟	嘟	'dou
叨	叨	'dou
刀	刀	'dou
端	端	'dyn
渣	渣	'dza
糌	糌	'dza
咱	咱	'dza
齇	齇	'dza
楂	楂	'dza
吒	吒	'dza
抓	抓	'dza/´dzau
赍	齎	'dzai
斋	齋	'dzai
嘲	嘲	'dzau
咨	咨	'dzi
兹	茲	'dzi
孜	孜	'dzi
滋	滋	'dzi
吱	吱	'dzi
氏	氏	'dzi
知	知	'dzi
支	支	'dzi
脂	脂	'dzi
蜘	蜘	'dzi
淄	淄	'dzi
辎	輜	'dzi
枝	枝	'dzi
肢	肢	'dzi
芝	芝	'dzi
龇	齜	'dzi
谘	諮	'dzi
鼒	鼒	'dzi
资	資	'dzi
赀	貲	'dzi
之	之	'dzi
姿	姿	'dzi
织	織	'dzik
迹	跡	'dzik
绩	績	'dzik
陟	陟	'dzik
积	積	'dzik
稷	稷	'dzik
鲫	鯽	'dzik
即	即	'dzik
职	職	'dzik
渍	漬	'dzik/¯dzi
占	占	'dzim
瞻	瞻	'dzim
沾	沾	'dzim
詹	詹	'dzim
尖	尖	'dzim
谵	譫	'dzim
霑	霑	'dzim
笺	箋	'dzin
毡	氈	'dzin
膻	羶	'dzin
煎	煎	'dzin
唧	唧	'dzit
朝	朝	'dziu
招	招	'dziu
礁	礁	'dziu
焦	焦	'dziu
椒	椒	'dziu
蕉	蕉	'dziu
糟	糟	'dzou
遭	遭	'dzou
租	租	'dzou
诛	誅	'dzy
铢	銖	'dzy
朱	朱	'dzy
诸	諸	'dzy
侏	侏	'dzy
茱	茱	'dzy
株	株	'dzy
猪	豬	'dzy
蛛	蛛	'dzy
珠	珠	'dzy
颛	顓	'dzyn
专	專	'dzyn
尊	尊	'dzyn
砖	磚	'dzyn
鳟	鱒	'dzyn/¯dzyn
镌	鐫	'dzyn/¯dzœn
榛	榛	'dzœn
臻	臻	'dzœn
津	津	'dzœn
樽	樽	'dzœn
谆	諄	'dzœn
遵	遵	'dzœn/'dzyn
卒	卒	'dzœt
怵	怵	'dzœt
黜	黜	'dzœt
追	追	'dzœy
椎	椎	'dzœy
锥	錐	'dzœy
狙	狙	'dzœy
蛆	蛆	'dzœy/'tsœy
章	章	'dzœŋ
浆	漿	'dzœŋ
漳	漳	'dzœŋ
嫜	嫜	'dzœŋ
獐	獐	'dzœŋ
张	張	'dzœŋ
彰	彰	'dzœŋ
樟	樟	'dzœŋ
璋	璋	'dzœŋ
蟑	蟑	'dzœŋ
将	將	'dzœŋ
鄣	鄣	'dzœŋ
齑	齏	'dzɐi
跻	躋	'dzɐi
挤	擠	'dzɐi
剂	劑	'dzɐi
仄	仄	'dzɐk
则	則	'dzɐk
昃	昃	'dzɐk
侧	側	'dzɐk
针	針	'dzɐm
箴	箴	'dzɐm
砧	砧	'dzɐm
斟	斟	'dzɐm
簪	簪	'dzɐm
胗	胗	'dzɐn
珍	珍	'dzɐn
真	真	'dzɐn
汁	汁	'dzɐp
执	執	'dzɐp
质	質	'dzɐt
洲	洲	'dzɐu
诌	謅	'dzɐu
周	周	'dzɐu
州	州	'dzɐu
舟	舟	'dzɐu
