开放粤语字典（黄锡凌数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［黄锡凌拼音］

丫	丫	a1
呀	呀	a1
啊	啊	a1
锕	錒	a1
吖	吖	a1
鸦	鴉	a1
啊	啊	a2
哑	啞	a2
亚	亞	a3
啊	啊	a3
氩	氬	a3
娅	婭	a3
阿	阿	a3
挨	挨	ai1
隘	隘	ai3
轭	軛	ak7
俺	俺	an2
晏	晏	an3
鸭	鴨	ap8
揠	揠	at8
压	壓	at8
押	押	at8
遏	遏	at8
猰	猰	at8
轧	軋	at8
拗	拗	au3
坳	坳	au3/au1
罂	罌	aŋ1
粑	粑	ba1
疤	疤	ba1
巴	巴	ba1
葩	葩	ba1
爸	爸	ba1
笆	笆	ba1
芭	芭	ba1
叭	叭	ba1
钯	鈀	ba2
靶	靶	ba2
把	把	ba2
坝	壩	ba3
霸	霸	ba3
罢	罷	ba6
吧	吧	ba6
掰	掰	bai1/mak8
捭	捭	bai2
摆	擺	bai2
摆	襬	bai2
拜	拜	bai3
败	敗	bai6
稗	稗	bai6
迫	迫	bak7/bik7
百	百	bak8
佰	佰	bak8
伯	伯	bak8
卜	蔔	bak9
白	白	bak9
匐	匐	bak9
帛	帛	bak9
瘢	瘢	ban1
颁	頒	ban1
斑	斑	ban1
班	班	ban1
舨	舨	ban2
板	闆	ban2
坂	坂	ban2
版	版	ban2
板	板	ban2
扮	扮	ban3
扮	扮	ban6
办	辦	ban6
捌	捌	bat8
八	八	bat8
茇	茇	bat9
褒	褒	bau1
包	包	bau1
孢	孢	bau1
胞	胞	bau1
苞	苞	bau1
鲍	鮑	bau1
饱	飽	bau2
爆	爆	bau3
龅	齙	bau6
鲍	鮑	bau6
蹦	蹦	baŋ6
绷	繃	baŋ6
屄	屄	bei1
悲	悲	bei1
裨	裨	bei1
碑	碑	bei1
卑	卑	bei1
比	比	bei2
妣	妣	bei2
彼	彼	bei2
匕	匕	bei2/bei3
