开放粤语字典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［刘锡祥拼音］

丫	丫	a1
呀	呀	a1
啊	啊	a1
锕	錒	a1
吖	吖	a1
鸦	鴉	a1
啊	啊	a2
哑	啞	a2
亚	亞	a3
阿	阿	a3
氩	氬	a3
娅	婭	a3
啊	啊	a3
挨	挨	aai1
隘	隘	aai3
轭	軛	aak1
俺	俺	aan2
晏	晏	aan3
罂	罌	aang1
鸭	鴨	aap3
压	壓	aat3
押	押	aat3
遏	遏	aat3
揠	揠	aat3
轧	軋	aat3
猰	猰	aat3
拗	拗	aau3
坳	坳	aau3/aau1
哎	哎	ai1
唉	唉	ai1
矮	矮	ai2
唉	唉	ai3
屃	屭	ai3
缢	縊	ai3
厄	厄	ak1/aak1
扼	扼	ak1/aak1
幄	幄	ak1/aak1
握	握	ak1/aak1
龌	齷	ak1/aak1
渥	渥	ak1/aak1
鹌	鵪	am1
庵	庵	am1
谙	諳	am1
黯	黯	am2
揞	揞	am2
暗	暗	am3
莺	鶯	ang1
罂	罌	ang1
瓯	甌	au1
鸥	鷗	au1
欧	歐	au1
呕	嘔	au2
殴	毆	au2/au1
怄	慪	au3
凹	凹	au3/nap1
疤	疤	ba1
叭	叭	ba1
粑	粑	ba1
芭	芭	ba1
笆	笆	ba1
爸	爸	ba1
葩	葩	ba1
巴	巴	ba1
钯	鈀	ba2
靶	靶	ba2
把	把	ba2
坝	壩	ba3
霸	霸	ba3
罢	罷	ba6
吧	吧	ba6
掰	掰	baai1/maak3
摆	擺	baai2
摆	襬	baai2
捭	捭	baai2
拜	拜	baai3
败	敗	baai6
稗	稗	baai6
迫	迫	baak1/bik1
伯	伯	baak3
百	百	baak3
佰	佰	baak3
白	白	baak6
帛	帛	baak6
卜	蔔	baak6
匐	匐	baak6
颁	頒	baan1
班	班	baan1
瘢	瘢	baan1
斑	斑	baan1
版	版	baan2
舨	舨	baan2
板	板	baan2
