开放粤语字典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［耶鲁拼音］

丫	丫	ā
呀	呀	ā
啊	啊	ā
鸦	鴉	ā
吖	吖	ā
锕	錒	ā
哑	啞	á
啊	啊	á
亚	亞	a
阿	阿	a
氩	氬	a
娅	婭	a
啊	啊	a
挨	挨	āai
隘	隘	aai
轭	軛	āak
俺	俺	áan
晏	晏	aan
罂	罌	āang
鸭	鴨	aap
压	壓	aat
押	押	aat
遏	遏	aat
揠	揠	aat
轧	軋	aat
猰	猰	aat
拗	拗	aau
坳	坳	aau/āau
哎	哎	āi
唉	唉	āi
矮	矮	ái
唉	唉	ai
缢	縊	ai
屃	屭	ai
厄	厄	āk/āak
扼	扼	āk/āak
幄	幄	āk/āak
握	握	āk/āak
渥	渥	āk/āak
龌	齷	āk/āak
鹌	鵪	ām
庵	庵	ām
谙	諳	ām
黯	黯	ám
揞	揞	ám
暗	暗	am
莺	鶯	āng
罂	罌	āng
欧	歐	āu
鸥	鷗	āu
瓯	甌	āu
呕	嘔	áu
殴	毆	áu/āu
怄	慪	au
凹	凹	au/nāp
叭	叭	bā
疤	疤	bā
粑	粑	bā
芭	芭	bā
笆	笆	bā
爸	爸	bā
葩	葩	bā
巴	巴	bā
钯	鈀	bá
靶	靶	bá
把	把	bá
霸	霸	ba
坝	壩	ba
吧	吧	bah
罢	罷	bah
掰	掰	bāai/maak
摆	擺	báai
摆	襬	báai
捭	捭	báai
拜	拜	baai
败	敗	baaih
稗	稗	baaih
迫	迫	bāak/bīk
伯	伯	baak
佰	佰	baak
百	百	baak
匐	匐	baahk
帛	帛	baahk
卜	蔔	baahk
白	白	baahk
斑	斑	bāan
班	班	bāan
瘢	瘢	bāan
颁	頒	bāan
版	版	báan
舨	舨	báan
板	板	báan
板	闆	báan
坂	坂	báan
扮	扮	baan
扮	扮	baahn
办	辦	baahn
蹦	蹦	baahng
绷	繃	baahng
捌	捌	baat
八	八	baat
茇	茇	baaht
褒	褒	bāau
包	包	bāau
鲍	鮑	bāau
苞	苞	bāau
胞	胞	bāau
孢	孢	bāau
饱	飽	báau
爆	爆	baau
鲍	鮑	baauh
龅	齙	baauh
跛	跛	bāi/bó
蔽	蔽	bai
闭	閉	bai
赑	贔	bai
敝	敝	baih
弊	弊	baih
陛	陛	baih
毙	斃	baih
狴	狴	baih
币	幣	baih
北	北	bāk
泵	泵	bām
乓	乓	bām/pōng
奔	奔	bān
槟	檳	bān
宾	賓	bān
缤	繽	bān
滨	濱	bān
斌	斌	bān
彬	彬	bān
濒	瀕	bān/pàhn
品	品	bán
禀	稟	bán
摈	擯	ban
殡	殯	ban
鬓	鬢	ban
笨	笨	bahn
崩	崩	bāng
镚	鏰	bāng
不	不	bāt
笔	筆	bāt
毕	畢	bāt
钚	鈈	bāt
哔	嗶	bāt
筚	篳	bāt
跸	蹕	bāt
荜	蓽	bāt
拔	拔	baht
钹	鈸	baht
弼	弼	baht
跋	跋	baht
苾	苾	baht
菝	菝	baht
啤	啤	bē
呗	唄	beh
碑	碑	bēi
卑	卑	bēi
裨	裨	bēi
悲	悲	bēi
屄	屄	bēi
比	比	béi
彼	彼	béi
妣	妣	béi
匕	匕	béi/bei
臂	臂	bei
痹	痺	bei
秘	秘	bei
泌	泌	bei
庇	庇	bei
辔	轡	bei
铋	鉍	bei
备	備	beih
被	被	beih
鼻	鼻	beih
箆	箆	beih
避	避	beih
惫	憊	beih/baaih
饼	餅	béng
柄	柄	beng/bing
病	病	behng/bihng
壁	壁	bīk
碧	碧	bīk
逼	逼	bīk
愎	愎	bīk
璧	璧	bīk
边	邊	bīn
辫	辮	bīn
鞭	鞭	bīn
扁	扁	bín
匾	匾	bín
贬	貶	bín
变	變	bin
便	便	bihn
卞	卞	bihn
辩	辯	bihn
辨	辨	bihn
兵	兵	bīng
冰	冰	bīng
乒	乒	bīng/pīng
丙	丙	bíng
秉	秉	bíng
炳	炳	bíng
屏	屏	bíng
饼	餅	bíng
迸	迸	bing
并	併	bing/ping
并	並	bihng
觱	觱	bīt
必	必	bīt
别	彆	bit
憋	憋	bit
鳖	鱉	bit
蹩	蹩	biht
别	別	biht
瘪	癟	biht
镳	鑣	biū
彪	彪	biū
标	標	biū
表	錶	biū
镖	鏢	biū
飙	飆	biū
膘	膘	biū
婊	婊	biú
表	表	biú
波	波	bō
玻	玻	bō
菠	菠	bō
簸	簸	bo
播	播	bo
膊	膊	bok
博	博	bok
搏	搏	bok
驳	駁	bok
亳	亳	bok
缚	縛	bok/fok
铂	鉑	bohk
泊	泊	bohk
箔	箔	bohk
礴	礴	bohk
雹	雹	bohk
薄	薄	bohk
舶	舶	bohk/paak
梆	梆	bōng
帮	幫	bōng
邦	邦	bōng
绑	綁	bóng
膀	膀	bóng
榜	榜	bóng
蒡	蒡	bóng
傍	傍	bohng
镑	鎊	bohng
磅	磅	bohng
晡	晡	bōu
保	保	bóu
鸨	鴇	bóu
堡	堡	bóu
圃	圃	bóu
宝	寶	bóu
葆	葆	bóu
补	補	bóu
布	佈	bou
埔	埔	bou
怖	怖	bou
报	報	bou
布	布	bou
步	步	bouh
捕	捕	bouh
暴	暴	bouh
哺	哺	bouh
簿	簿	bouh
部	部	bouh
埠	埠	bouh/fauh
杯	杯	buī
背	揹	bui
狈	狽	bui
贝	貝	bui
钡	鋇	bui
辈	輩	bui
悖	悖	buih
背	背	buih
焙	焙	buih
卜	卜	būk
曝	曝	buhk
仆	僕	buhk
瀑	瀑	buhk
濮	濮	buhk
蹼	蹼	buhk
般	般	būn
搬	搬	būn
本	本	bún
畚	畚	bún
苯	苯	bún
半	半	bun
拌	拌	buhn
