开放粤语字典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［粤语拼音］

丫	丫	a1
呀	呀	a1
啊	啊	a1
锕	錒	a1
吖	吖	a1
鸦	鴉	a1
啊	啊	a2
哑	啞	a2
亚	亞	a3
阿	阿	a3
氩	氬	a3
娅	婭	a3
啊	啊	a3
鸭	鴨	ab3
押	押	ad3
遏	遏	ad3
猰	猰	ad3
轧	軋	ad3
压	壓	ad3
揠	揠	ad3
轭	軛	ag1
挨	挨	ai1
隘	隘	ai3
扼	扼	ak1/ag1
幄	幄	ak1/ag1
握	握	ak1/ag1
厄	厄	ak1/ag1
龌	齷	ak1/ag1
渥	渥	ak1/ag1
鹌	鵪	amp1
庵	庵	amp1
谙	諳	amp1
黯	黯	amp2
揞	揞	amp2
暗	暗	amp3
俺	俺	an2
晏	晏	an3
罂	罌	ang1
罂	罌	ank1
莺	鶯	ank1
拗	拗	au3
坳	坳	au3/au1
瓯	甌	aw1
欧	歐	aw1
鸥	鷗	aw1
呕	嘔	aw2
殴	毆	aw2/aw1
怄	慪	aw3
凹	凹	aw3/nap1
唉	唉	ay1
哎	哎	ay1
矮	矮	ay2
屃	屭	ay3
唉	唉	ay3
缢	縊	ay3
粑	粑	ba1
疤	疤	ba1
叭	叭	ba1
巴	巴	ba1
笆	笆	ba1
爸	爸	ba1
葩	葩	ba1
芭	芭	ba1
钯	鈀	ba2
靶	靶	ba2
把	把	ba2
霸	霸	ba3
坝	壩	ba3
吧	吧	ba6
罢	罷	ba6
八	八	bad3
捌	捌	bad3
茇	茇	bad6
迫	迫	bag1/bek1
百	百	bag3
伯	伯	bag3
佰	佰	bag3
白	白	bag6
匐	匐	bag6
卜	蔔	bag6
帛	帛	bag6
掰	掰	bai1/mag3
摆	襬	bai2
摆	擺	bai2
捭	捭	bai2
拜	拜	bai3
稗	稗	bai6
败	敗	bai6
北	北	bak1
泵	泵	bamp1
